Number,State,State_Code,Organization_Name,Type,Email,Phone,Website,Address,City,Zip_Code,Description
11,Alaska,AK,Alaska Mindful Paws,Shelter,info@alaskamindfulpaws.org,,https://www.alaskamindfulpaws.org,,Homer,99603,"Non-profit organization in Homer dedicated to providing shelter, care and advocacy to homeless animals in the community."
12,Alaska,AK,Alaskan Animal Rescue Friends,Rescue,rescueadogtoday@gmail.com,(907) 727-6728,https://www.alaskananimalrescuefriends.org,521 W 41st Unit H,Anchorage,99503,"All-volunteer, foster home based dog rescue. Takes dogs from bush communities, local animal control, owner releases, and neglect cases."
13,Alaska,AK,Friends of Pets,Rescue,friendsofpets@alaska.net,(907) 562-2535,https://friendsofpets.org,P.O. Box 240981,Anchorage,99524,"Established in 1989, 100% volunteer organization rescuing at least 80% of animals from Anchorage Animal Care & Control. Places 100-150 animals per year."
14,Alaska,AK,Alaska Dog and Puppy Rescue,Rescue,info@prior2prior.com,(907) 745-7030,https://www.prior2prior.com,,Palmer,99645,"All-volunteer organization helping meet the needs of the Mat-Su Valley pet overpopulation problem, rescuing weekly from Mat-Su Borough Animal Shelter and Houston Animal Control."
15,Alaska,AK,Second Chance League,Rescue,info@secondchanceleague.org,,https://www.secondchanceleague.org,,Fairbanks,99701,"Group of Fairbanks mushers focused on finding permanent homes for sled dogs. Works exclusively with dogs from municipal shelter, evaluating, fostering, and training them."
16,Alaska,AK,Alaska Humane Society,Humane Society,info@adopt-a-cat.org,(907) 344-8808,https://adopt-a-cat.org,,Anchorage,99507,"Founded in 1979, operates a no-kill shelter and sanctuary for orphan cats in Anchorage."
17,Alaska,AK,Best Friends Animal Rescue Alaska,Rescue,info@bfarak.org,,https://bfarak.org,,Anchorage,99501,Registered 501(c)3 non-profit helping families from all over Alaska find their next best friend through adoption services.
18,Alaska,AK,Forget-Me-Not Animal Rescue,Rescue,info@fmnrescue.org,,https://fmnrescue.org,,North Pole,99705,"Animal rescue organization in North Pole, Alaska founded in 2023, dedicated to rescuing and rehoming animals in the Fairbanks area."
19,Alaska,AK,Golden Retriever Rescue of Fairbanks,Rescue,info@grrf.org,,https://www.grrf.org,,Fairbanks,99701,Breed-specific rescue organization dedicated to rescuing and rehoming Golden Retrievers in the Fairbanks area.
20,Alaska,AK,Loving Companions Animal Rescue,Rescue,info@lovingcompanionsanimalrescue.org,,https://lovingcompanionsanimalrescue.org,,Fairbanks,99701,"Animal rescue organization serving the Fairbanks area, dedicated to finding loving homes for companion animals."
21,Alaska,AK,HARK - Haines Animal Rescue Kennel,Rescue,hark@aptalaska.net,(907) 766-2834,,,Haines,99827,"Finds homes for homeless animals, offers low-cost medical services, educates the public on responsible pet care, and serves as animal control in Haines."
22,Alaska,AK,Bering Sea Humane Society,Humane Society,,,,,Nome,99762,"Animal welfare organization in Nome, Alaska founded in 2020 serving the remote Bering Sea region."
23,Alaska,AK,Petersburg Humane Association,Humane Society,,,,,Petersburg,99833,"Animal shelter organization in Petersburg, Alaska founded in 2008 serving the local community."
24,Alaska,AK,Helping Escaped and Lost Pets,Rescue,info@matsuhelp.org,,https://www.matsuhelp.org,,Palmer,99645,"Nonprofit helping return lost pets home in the Mat-Su Valley, including Palmer, Wasilla, and all of the Mat-Su Borough."
25,Alaska,AK,Companions Inc,Nonprofit,info@companionsinc.org,,https://www.companionsinc.org,,Fairbanks,99701,Pet support volunteers organization serving the Fairbanks area with various animal welfare programs.
26,Alabama,AL,Greater Birmingham Humane Society,Humane Society,info@gbhs.org,(205) 942-1211,https://gbhs.org,300 Snow Drive,Birmingham,35209,"The oldest and largest animal shelter in Alabama, founded in 1883. GBHS promotes humane treatment of animals through education, advocacy, and services, and manages Animal Care & Control for Jefferson County."
27,Alabama,AL,Greater Huntsville Humane Society,Humane Society,info@ghhs.org,(256) 881-8081,https://ghhs.org,2812 Johnson Road,Huntsville,35805,A 501(c)(3) no-kill animal shelter rescuing North Alabama's homeless animals for over 55 years. Offers community programs including pet food bank and wellness clinic.
28,Alabama,AL,Montgomery Humane Society,Humane Society,info@montgomeryhumane.com,(334) 409-0622,https://www.montgomeryhumane.com,1150 John Overton Drive,Montgomery,36110,"Founded in 1920, Montgomery Humane Society is an open admission shelter preventing cruelty to animals through shelter operations, adoption services, and investigating abuse cases."
29,Alabama,AL,Mobile SPCA,Spca,info@mobilespca.org,(251) 633-3531,https://www.mobilespca.org,620 Zeigler Circle West,Mobile,36608,"Founded in 1885, one of Alabama's oldest continuously operating charitable organizations. A no-kill, limited intake shelter offering adoption guarantees for healthy or treatable animals."
30,Alabama,AL,Humane Society of West Alabama,Humane Society,volunteerhswa@gmail.com,(205) 554-0011,https://humanesocietyofwa.org,1515 Veterans Memorial Parkway,Tuscaloosa,35404,"Since 1971, a no-kill, volunteer-run, cage-free nonprofit adoption center. Operates entirely on donor support with no government funding."
31,Alabama,AL,Morgan County Humane Society,Humane Society,info@morgancountyhumanesociety.com,(256) 773-7222,https://www.morgancountyhumanesociety.com,86 Gum Springs Cut-Off Road,Hartselle,35640,Established in 2004 as the first no-kill organization in North Alabama. Their facility sits on over eight acres in rural Morgan County.
32,Alabama,AL,Baldwin Humane Society,Humane Society,exdir@baldwinhumane.org,(251) 928-4585,https://baldwinhumane.org,22886C Highway 98,Fairhope,36532,"Founded in 1979, Baldwin County AL Humane Society has been a driving force in animal welfare serving the entire Baldwin County area."
33,Alabama,AL,Lee County Humane Society,Humane Society,lchs1140@leecountyhumane.org,(334) 821-3222,https://www.leecountyhumane.org,1140 Ware Drive,Auburn,36832,"Developed in 1974, a 501(c)3 non-profit, open-admission shelter serving Auburn and Opelika. Provides adoption services, educational programs, and community awareness."
34,Alabama,AL,East Alabama Humane Society,Humane Society,eahs4pets@yahoo.com,(334) 298-6446,https://www.eahs4pets.com,712 13th Street,Phenix City,36867,"The only no-kill shelter facility within Russell County, Alabama. Mission is to promote and enable saving the lives of as many unwanted pets as possible."
35,Alabama,AL,Shelby Humane Society,Humane Society,info@shelbyhumane.org,(205) 669-3916,https://shelbyhumane.org,381 McDow Road,Columbiana,35051,Founded in 1977 to care for unwanted cats and dogs in Shelby County. Operates the county animal shelter through contract with Shelby County.
36,Alabama,AL,Calhoun County Humane Society,Humane Society,calhouncountyhumane@gmail.com,(256) 405-6680,http://calhouncountyhs.blogspot.com,1201 Parkwood Drive,Anniston,36201,"Established in 1973, a 501(c)3 non-profit shelter for homeless pets. Known as The Animal Shelter, serving Jacksonville, AL and surrounding areas."
37,Alabama,AL,Prattville/Autauga Humane Society,Humane Society,autaugahumane@yahoo.com,(334) 358-2882,https://www.prattvilleautaugahumane.org,1009 Rueben Road,Prattville,36067,"A non-profit 501(c)3 animal shelter and adoption center serving the Prattville/Autauga area, providing homeless animals with shelter and care."
38,Alabama,AL,Humane Society Pet Rescue and Adoption Center,Humane Society,info@hsprac.com,(256) 442-1347,https://hsprac.com,815 Goodyear Avenue,Gadsden,35903,"Saves hundreds of homeless pets in the Gadsden and Attalla areas by providing temporary shelter, food, veterinary care, and educational outreach programs."
39,Alabama,AL,Wiregrass Pet Rescue and Adoption Center,Rescue,info@wiregrasspetrescue.org,(334) 792-4014,https://wiregrasspetrescue.org,800 Fortner Street,Dothan,36301,A 501(c)3 nonprofit dedicated to creating an exemplary animal shelter and community-friendly facility in Dothan/Houston County.
40,Alabama,AL,Rocket City Rescue,Rescue,info@rocketcityrescue.org,,https://rocketcityrescue.org,,Huntsville,35801,A volunteer-driven rescue committed to helping homeless animals find their forever homes. Offers adoption and foster programs for cats and dogs.
41,Alabama,AL,Florence Lauderdale Animal Services,Shelter,animalservices@florenceal.org,(256) 760-6676,https://florenceal.org/public-safety/animal-control/,3240 Roberson Road,Florence,35630,"Receives all stray, abandoned, and surrendered pets in Florence and Lauderdale County. Works with fosters, volunteers, and rescues to rehome thousands of homeless animals yearly."
42,Alabama,AL,Shoals PAWS,Rescue,info@shoalspaws.com,,https://www.shoalspaws.com,,Florence,35630,"All-volunteer group serving Lauderdale, Colbert, and Franklin Counties since 2003. Dedicated to spay/neuter initiatives, TNR, and rescuing animals in need through foster homes."
43,Alabama,AL,CAAWA - Cullman Area Animal Welfare Association,Rescue,caawarescue@yahoo.com,,https://www.caawa.org,"PMB 106, 1236 Cullman Shopping Center",Cullman,35055,"A 501(c)3 non-profit, all-volunteer, no-kill organization rescuing dogs and cats in Cullman County to decrease shelter surrenders."
44,Alabama,AL,Decatur Animal Services,Animal Control,Animaladoptions@decatur-al.gov,(256) 341-4790,https://www.cityofdecatural.com/departments/animal-services/,300A Beltline Road SW,Decatur,35601,"City of Decatur municipal animal services providing animal control, shelter, and adoption services for the Decatur community."
45,Alabama,AL,Alabama SPCA,Spca,info@alabamaspca.org,,https://www.alabamaspca.org,,Birmingham,35209,"A statewide SPCA organization dedicated to animal welfare across Alabama through rescue, adoption, and advocacy programs."
46,Alabama,AL,Two By Two Rescue League,Rescue,info@twobytworescue.com,(205) 397-8922,https://twobytworescue.com,,Helena,35080,"Rescues and re-homes lost, abandoned, and neglected animals while educating the public on responsible pet ownership."
47,Alabama,AL,Humane Society of Elmore County,Humane Society,hselmorecounty@gmail.com,(334) 567-3377,https://www.hselmorecounty.org,255 Central Plank Road,Wetumpka,36092,"Rescues animals, prevents cruelty, promotes responsible pet ownership, and finds loving homes through education and community engagement."
48,Alabama,AL,4Legs4Justice Animal Rescue,Rescue,info@4legs4justice.org,,https://4legs4justice.org,,Anniston,36201,"Partners with Greater Birmingham Humane Society, operating at a facility in McClellan, Anniston to rescue and rehome animals."
49,Alabama,AL,SAVE-A-PET at the Dothan Animal Shelter,Rescue,saveapetofdothan@gmail.com,(334) 615-4620,,500 Pea River Drive,Dothan,36303,"A partnership between the City of Dothan's Animal Shelter and SAVE A PET non-profit rescue, working to minimize euthanasia of adoptable pets."
50,Alabama,AL,Steel City Cat Rescue,Rescue,Steelcitycatrescue@gmail.com,,,,Birmingham,35242,A cat-focused rescue organization in the Birmingham area dedicated to rescuing and rehoming homeless cats.
51,Alabama,AL,Rescue Rangers,Rescue,k9.rescue.rangers@gmail.com,(256) 227-4270,,,Decatur,35603,A rescue organization in the Decatur area focused on saving and rehoming dogs in North Alabama.
52,Alabama,AL,Huntsville Animal Services,Animal Control,animalservices@huntsvilleal.gov,(256) 883-3782,https://www.huntsvilleal.gov/environment/animal-services/,4950 Triana Boulevard,Huntsville,35805,City of Huntsville municipal animal services providing animal control and shelter services for the Huntsville community.
53,Alabama,AL,Baldwin County Animal Shelter,Animal Control,animalshelter@baldwincountyal.gov,(251) 972-6834,https://baldwincountyal.gov/departments/animal-shelter,15240 County Road 49,Summerdale,36580,Baldwin County government-operated animal shelter providing animal control and adoption services for Baldwin County residents.
54,Alabama,AL,Shoals Animal Advocates,Rescue,shoalsanimaladvocates@gmail.com,,,,Florence,35630,"A 501(c)3 non-profit foster-based rescue promoting the rescuing, fostering and adoption of homeless dogs and cats in Colbert, Lauderdale, and Franklin counties."
55,Alabama,AL,For Paws Rescue,Rescue,forpawsrescue@gmail.com,,,,Auburn,36830,"An animal welfare organization in Auburn founded in 2004, dedicated to rescuing and rehoming animals in the Lee County area."
56,Arkansas,AR,Humane Society of Pulaski County,Humane Society,info@warmhearts.org,(501) 227-6166,https://warmhearts.org,14600 Colonel Glenn Road,Little Rock,72210,"Arkansas' only 4-star rated animal welfare charity since 1946. Private no-kill shelter supported solely by donations, typically housing about 200 animals at a time."
57,Arkansas,AR,Little Rock Animal Village,Shelter,animalvillage@littlerock.gov,(501) 376-3067,https://www.friendsoftheanimalvillage.org/about-lrav,4500 Kramer Street,Little Rock,72204,"Little Rock's municipal animal shelter with fully staffed veterinary clinic caring for thousands of animals yearly, plus adoption center with five large play yards for dogs."
58,Arkansas,AR,Friends of the Animal Village,Nonprofit,info@FriendsoftheAnimalVillage.org,,https://www.friendsoftheanimalvillage.org,"7401 Colonel Glenn Road, #4026",Little Rock,72204,"Nonprofit supporting Little Rock Animal Village through donations, fundraisers, awareness campaigns, and improving quality of life for shelter animals."
59,Arkansas,AR,CARE for Animals,Rescue,info@careforanimals.org,(501) 604-2254,https://www.careforanimals.org,5516 Kavanaugh Boulevard,Little Rock,72207,"501(c)(3) nonprofit created in 1998, devoted to rescue/adoption, spay/neuter, pet food pantry, and fundraising efforts with hundreds of volunteers."
60,Arkansas,AR,North Little Rock Animal Shelter,Animal Control,animalservices@nlr.ar.gov,(501) 791-8577,https://nlr.ar.gov/departments/animal-services/animal-shelter/,1 Championship Drive,North Little Rock,72118,Municipal animal shelter serving North Little Rock with animal control and adoption services.
61,Arkansas,AR,Humane Society of the Ozarks,Humane Society,hsoadmin@hsozarks.com,(479) 444-7387,https://hsozarks.org,PO Box 11174,Fayetteville,72703,"Founded in 1944, 501(c)3 nonprofit servicing Northwest Arkansas. Programs include low cost spay/neuter vouchers, emergency vet care, and companion animal rescue."
62,Arkansas,AR,NWA Humane Society for Animals,Humane Society,info@nwahumanesocietyforanimals.org,(479) 636-3703,https://nwahumanesocietyforanimals.org,1530 W Walnut Street,Rogers,72756,Local no-kill shelter helping animals find loving homes since 1963 in Northwest Arkansas.
63,Arkansas,AR,Northeast Arkansas Humane Society,Humane Society,administrator@neahs.org,(870) 932-5185,https://www.neahs.org,6111 E Highland Drive,Jonesboro,72401,"Founded in 1971, 501c nonprofit animal shelter devoted to placing surrendered or abandoned pets into loving homes across Northeast Arkansas."
64,Arkansas,AR,Sebastian County Humane Society (HOPE Humane Society),Humane Society,bekah-schs@att.net,(479) 783-4395,,3800 Kelley Highway,Fort Smith,72904,"Established in 1937, dedicated to prevention of cruelty, relief of animal suffering, placement in responsible homes, and humane education."
65,Arkansas,AR,Fort Smith Animal Haven,Rescue,info@fsmah.org,,https://fsmah.org,,Fort Smith,72901,"Provides non-lethal solutions to homeless, abandoned, and feral animal population through reunification, adoption, or transport to areas with higher adoption rates."
66,Arkansas,AR,The Artemis Project,Rescue,info@theartemisprojectrescue.org,,https://theartemisprojectrescue.org,,Fort Smith,72901,"Fort Smith and Arkansas River Valley animal rescue offering adoption, fostering, and donation opportunities."
67,Arkansas,AR,Humane Society of Garland County,Humane Society,info@hsgconline.org,(501) 623-5012,https://hsgconline.org,1321 Highway 128,Lonsdale,72087,Making a difference in the lives of animals in Hot Springs and throughout Arkansas with shelter and adoption services.
68,Arkansas,AR,Hot Springs Village Animal Welfare League,Nonprofit,info@hsvawl.org,,https://hsvawl.org,,Hot Springs Village,71909,"Volunteer-run organization paying for food, veterinary expenses, and supplies for shelter animals. Achieved 94.5% save rate in 2024, qualifying as no-kill shelter."
69,Arkansas,AR,Guardian Angels Cat Rescue and Adoption Shelter,Rescue,,(501) 623-3484,,907 Hobson Avenue,Hot Springs,71901,Cat rescue and adoption shelter serving the Hot Springs area.
70,Arkansas,AR,Paws and Claws Rescue,Rescue,info@pawsandclawsrescue.org,,,PO Box 20254,Hot Springs,71903,Animal rescue organization serving the Hot Springs area.
71,Arkansas,AR,Conway Animal Welfare Unit,Animal Control,,(501) 450-6160,,4550 Highway 64 West,Conway,72032,Municipal animal welfare unit serving Conway and Faulkner County.
72,Arkansas,AR,Humane Society of Faulkner County,Humane Society,info@faulknercountyhumanesociety.org,(501) 908-6658,,,Conway,72032,Humane society serving Faulkner County with animal welfare and adoption services.
73,Arkansas,AR,Jefferson County Humane Society,Humane Society,info@jeffcoarkansashumanesociety.com,,https://jeffcoarkansashumanesociety.com,,Pine Bluff,71601,Humane society serving Pine Bluff and Jefferson County with animal rescue and adoption services.
74,Arkansas,AR,Humane Society of Saline County,Humane Society,info@hssaline.org,(501) 557-5518,https://hssaline.org,,Bauxite,72011,Humane society serving Saline County with animal welfare services.
75,Arkansas,AR,Central Arkansas SPCA,Spca,,(501) 366-1293,,,Jacksonville,72076,SPCA serving Central Arkansas with animal welfare and adoption services.
76,Arkansas,AR,Big Paws of the Ozarks,Rescue,info@bigpawsoftheozarks.org,(479) 316-6045,,"121 W Township Avenue, Suite 4",Fayetteville,72703,"Rescues, fosters, and finds loving homes for large breed dogs, advocating for animal welfare and community education on pet care."
77,Arkansas,AR,Fayetteville Animal Shelter,Animal Control,animalservices@fayetteville-ar.gov,(479) 444-3456,,1640 S Armstrong Avenue,Fayetteville,72701,Municipal animal shelter serving Fayetteville with animal control and adoption services.
78,Arkansas,AR,Animal League of Washington County,Rescue,info@alwc.org,(479) 263-7058,,PO Box 4366,Fayetteville,72702,Animal rescue league serving Washington County in Northwest Arkansas.
79,Arkansas,AR,ArkanPaws Animal Rescue,Rescue,,(501) 289-0894,,,Plumerville,72127,Animal rescue serving Conway County and surrounding areas.
80,Arkansas,AR,Last Chance Arkansas,Rescue,info@lastchancearkansas.org,,,,Little Rock,72201,"Saves animals from euthanasia by offering medical care, fostering, and adoption services."
81,Arizona,AZ,Arizona Humane Society,Humane Society,petresourcecenter@azhumane.org,(602) 997-7585,https://www.azhumane.org,1521 W Dobbins Road,Phoenix,85041,"Arizona's largest animal welfare organization, operating the state's largest trauma hospital for homeless animals. Dedicated to saving vulnerable pets through innovative medical programs, emergency rescue, and comprehensive adoption services."
82,Arizona,AZ,Arizona Animal Welfare League & SPCA,Spca,marketing@aawl.org,(602) 273-6852,https://aawl.org,25 North 40th Street,Phoenix,85034,"The oldest and largest no-kill shelter in Arizona, founded in 1971. Merged with Arizona SPCA in 2007. Rescues, rehabilitates, and rehomes more than 4,000 dogs and cats annually."
83,Arizona,AZ,Maricopa County Animal Care and Control - West,Animal Control,animalcare@maricopa.gov,(602) 506-7387,https://www.maricopa.gov/5268/Animal-Care-and-Control,2500 S 27th Avenue,Phoenix,85009,"One of the nation's largest open-admission shelters, serving the animals and people of Maricopa County with adoption services, vaccinations, spay/neuter, and licensing."
84,Arizona,AZ,Maricopa County Animal Care and Control - East,Animal Control,animalcare@maricopa.gov,(602) 506-7387,https://www.maricopa.gov/5268/Animal-Care-and-Control,1920 S Lewis,Mesa,85210,"East Valley location of Maricopa County Animal Care and Control, providing animal welfare services to Mesa and East Valley communities."
85,Arizona,AZ,Pima Animal Care Center,Animal Control,pacc@pima.gov,(520) 724-5900,https://www.pima.gov/2233/Pima-Animal-Care-Center-PACC,4000 N Silverbell Road,Tucson,85745,"The community's only open-admission shelter with the largest selection of adoptable dogs, cats, puppies, and kittens. All adopted pets are microchipped, spayed/neutered, and vaccinated."
86,Arizona,AZ,Friends of Pima Animal Care Center,Nonprofit,info@friendsofpacc.org,(520) 610-4915,https://www.friendsofpacc.org,,Tucson,85745,"Nonprofit partner to Pima Animal Care Center, providing resources to support neglected, abandoned, and abused pets. Named Best Non-Profit in Arizona Daily Star Readers' Choice Awards six consecutive years."
87,Arizona,AZ,Humane Society of Southern Arizona,Humane Society,info@hssaz.org,(520) 327-6088,https://hssaz.org,635 W Roger Road,Tucson,85705,"Independent local nonprofit established in 1944, dedicated to sheltering and placement of animals, prevention of cruelty, and education on humane treatment."
88,Arizona,AZ,HALO Animal Rescue,Rescue,info@halorescue.org,(602) 971-9222,https://halorescue.org,"3227 E Bell Road, Suite D151",Phoenix,85032,"Founded in 1994, HALO provides a safe haven for thousands of homeless dogs and cats annually. Never euthanizes for space and ensures every pet receives full veterinary support before adoption."
89,Arizona,AZ,Lost Our Home Pet Rescue,Rescue,Adoptions@LostOurHome.org,(602) 445-7387,https://www.lostourhome.org,2323 South Hardy Drive,Tempe,85282,No-kill rescue dedicated to bridging the care gap between people in crisis and pets who have no place to go. Programs preserve the human-animal bond whenever possible.
90,Arizona,AZ,Foothills Animal Rescue,Rescue,volunteer@foothillsanimal.org,(480) 488-9890,https://foothillsanimal.org,10197 E Bell Road,Scottsdale,85260,"Non-profit founded in 1995, operating an adoption-guarantee facility where dogs and cats remain in care until finding loving homes. Award-winning Brynne Smith Memorial Campus."
91,Arizona,AZ,Sun Cities 4 Paws Rescue,Rescue,info@4pawsrescue.org,(623) 876-8778,https://4pawsrescue.org,11129 W Michigan Avenue,Youngtown,85363,No-kill cat-only animal rescue and shelter serving the Sun Cities area with adoption services.
92,Arizona,AZ,Yavapai Humane Society,Humane Society,info@yavapaihumane.org,(928) 445-2666,https://yavapaihumane.org,1625 Sundog Ranch Road,Prescott,86301,"Private non-profit providing animal care for stray dogs and cats in Prescott, Prescott Valley, and Yavapai County. Operations funded primarily by donations and fundraisers."
93,Arizona,AZ,United Animal Friends,Rescue,info@unitedanimalfriends.org,(928) 778-2924,https://unitedanimalfriends.org,,Prescott,86301,"Volunteer-based 501(c)(3) nonprofit founded in 2003, providing rescue programs including spay/neuter certificates, courtesy listings, and emergency medical assistance."
94,Arizona,AZ,Verde Valley Humane Society,Humane Society,info@verdevalleyhumane.org,(928) 634-7387,https://verdevalleyhumane.org,1520 W Mingus Avenue,Cottonwood,86326,"Provides shelter and care for homeless animals throughout Cottonwood, Verde Valley, Yavapai County, and the Yavapai-Nation."
95,Arizona,AZ,Humane Society of Central Arizona,Humane Society,info@humanesocietycentralaz.org,(928) 474-5590,https://humanesocietycentralaz.org,605 W Bridle Path Lane,Payson,85541,Animal shelter providing adoption services for dogs and cats in the Payson and central Arizona area.
96,Arizona,AZ,HARTT - Humane Animal Rescue & Trapping Team,Rescue,info@azhartt.org,(602) 476-1062,https://azhartt.org,,Phoenix,85001,"Volunteer-based nonprofit humanely capturing lost family pets, homeless dogs, and cats who are severely injured throughout the Phoenix area."
97,Arizona,AZ,AZ Friends for Life Animal Rescue,Rescue,info@azfriends.org,(480) 497-8296,https://azfriends.org,952 W Melody Avenue,Gilbert,85233,"Advocating for homeless animals in Arizona since 1993, committed to placing the right animal in the right home."
98,Arizona,AZ,Follow Your Heart Animal Rescue,Rescue,info@followyourheartanimalrescue.org,,https://www.followyourheartanimalrescue.org,,Mesa,85201,"501(c)(3) all foster-based rescue in Mesa, Arizona dedicated to saving homeless animals."
99,Arizona,AZ,Love Connection Dog Rescue,Rescue,info@loveconnectiondogrescue.com,,https://loveconnectiondogrescue.com,,Chandler,85224,"Accepts dogs of all conditions, pulling from county shelters, Indian reservations, and taking dogs requiring board and training. Volunteer foster families care for dogs until adoption."
100,Arizona,AZ,Pima Paws for Life,Rescue,info@pimapawsforlife.org,(520) 207-4024,https://www.pimapawsforlife.org,,Tucson,85701,"Nonprofit believing every animal's life has value, dedicated to rescue and rehoming in the Tucson area."
101,Arizona,AZ,Underdog Rescue of Arizona,Rescue,info@underdogaz.com,,https://www.underdogaz.com,,Phoenix,85001,Focuses on saving at-risk shelter dogs one paw at a time throughout the Phoenix metropolitan area.
102,Arizona,AZ,Yavapai Humane Trappers Animal Search & Rescue,Rescue,info@yavapaihumanetrappers.org,,https://www.yavapaihumanetrappers.org,,Prescott,86301,"Nonprofit animal rescue, adoption, and foster organization in Northern Arizona. Awarded Gold Seal of Transparency through GuideStar 2023-2024."
103,Arizona,AZ,Halfway Home Arizona Animal Rescue,Rescue,info@halfwayhomeaz.com,,https://www.halfwayhomeaz.com,,Phoenix,85001,Independent cat and dog rescue and foster program serving the Arizona community.
104,Arizona,AZ,Arizona Humane Society - Papago Park Campus,Humane Society,petresourcecenter@azhumane.org,(602) 997-7585,https://www.azhumane.org,5501 E Van Buren Avenue,Phoenix,85008,"Second campus of Arizona Humane Society providing adoption services, veterinary care, and community programs in the Papago Park area."
105,Arizona,AZ,Coconino Humane Association,Humane Society,info@coconinohumane.org,(928) 526-1076,https://coconinohumane.org,3501 E Butler Avenue,Flagstaff,86004,Serving the Flagstaff and Coconino County area with animal shelter and adoption services.
106,California,CA,San Francisco SPCA,Spca,publicinfo@sfspca.org,(415) 554-3000,https://www.sfspca.org,201 Alabama Street,San Francisco,94103,"Independent nonprofit since 1868, fourth oldest humane society in the U.S. and founders of the No-Kill movement. Offers world-class veterinary care and SF's largest adoption center."
107,California,CA,San Diego Humane Society,Humane Society,info@sdhumane.org,(619) 299-7012,https://sdhumane.org,5500 Gaines Street,San Diego,92110,"Works to create a more humane world by inspiring compassion, providing hope, and advancing the welfare of animals and people. Operates multiple campuses across San Diego County."
108,California,CA,spcaLA,Spca,info@spcaLA.com,(323) 730-5300,https://spcala.com,5026 W Jefferson Boulevard,Los Angeles,90016,"Independent nonprofit serving Southern California since 1877. Dedicated to prevention of cruelty to animals through education, law enforcement, intervention, and advocacy."
109,California,CA,Los Angeles County Animal Care and Control,Animal Control,licensing@animalcare.lacounty.gov,(562) 345-0400,https://animalcare.lacounty.gov,5898 Cherry Avenue,Long Beach,90805,"One of the largest animal care and control agencies in the nation, operating seven animal care centers and providing services to over three million residents."
110,California,CA,Los Angeles Animal Services,Animal Control,ani.info@lacity.org,(888) 452-7381,https://www.laanimalservices.com,"221 N Figueroa Street, Suite 600",Los Angeles,90012,"City of Los Angeles department promoting and protecting the health, safety and welfare of animals and people through multiple shelter locations."
