name,ein,street,city,state,zip
GATEWAY GATOS OF LAREDO,452961424,415 E FREMONT ST,LAREDO,TX,78040-3909
HAPPY TAILS DACHSHUND RESCUE INC,452967840,PO BOX 116,QUEEN CREEK,AZ,85142-1801
OPEN HAND RANCH INC,452977471,12451 US HIGHWAY 26,RIVERTON,WY,82501-9256
SPAY4LA INC,452996980,9854 NATIONAL BLVD 400,LOS ANGELES,CA,90034-2713
ORDINARY MIRACLES CANINE RESCUE OF TEXAS,453009610,PO BOX 201612,SAN ANTONIO,TX,78220-8612
WINGS AND REINS,453033936,PO BOX 593,DEVINE,TX,78016-0593
FRIENDS OF BERKELEY ANIMAL CARE SERVICES,453035418,1 BOLIVAR DR,BERKELEY,CA,94710-2210
RESCUED FOR LIFE INC,453040231,16604 E KENT DR,AURORA,CO,80013-2817
E Z HEART & SOUL RESCUE & SANCTUARY,453041157,924 5TH ST APT 9,SANTA MONICA,CA,90403-6134
DEZZYS SECOND CHANCE ANIMAL RESCUE,453042000,5085 CANAL DR,LAKE WORTH,FL,33463-8013
VIVA PERROS INC,453045050,PO BOX 151779,AUSTIN,TX,78715-1779
BONE-A-FIDE AUSSIE RESCUE KREWE,453053105,7537 PINNACLE PT,MONTGOMERY,AL,36117-6958
VALLEY ANIMAL PARTNERS,453060962,303 SYDNEY AVE N,NORTH BEND,WA,98045-8126
PAWSITIVE OUTREACH SPAY NEUTER ADVOCATES,453062989,1802 N SHORE DIAMOND LAKE RD,NEWPORT,WA,99156-8368
ALL THE KINGS HORSES OF ROBISON RANCH,453066106,505 SCOTT ST,RIDGECREST,CA,93555-3311
A PAWSITIVE APPROACH,453066494,2255 LICHEN LN,TUSTIN,CA,92780-6859
KANSAS CITY PET PROJECT,453067615,7077 ELMWOOD AVE,KANSAS CITY,MO,64132-1614
NICS SANCTUARY,453078979,2460 COUNTY ROAD 351,SHINER,TX,77984-6654
DEATH ROW DOGS RESCUE INC,453080357,PO BOX 57611,SHERMAN OAKS,CA,91413-2611
BRAZOS VALLEY POULTRY CLUB,453080721,1489 COUNTY ROAD 308,LEXINGTON,TX,78947-4190
TAKE YOUR BLINDERS OFF,453083664,735 NOTTINGHAM ST,ORLANDO,FL,32803-1017
FUREVER FRIENDS OF THE SOUTH K 9 RESCUE CROSSVILLE AL INC,453097371,609 COUNTY ROAD 370,CROSSVILLE,AL,35962-3871
SANTA BARBARA BEEKEEPERS ASSOCIATION,453100812,1187 COAST VILLAGE RD STE 1 PMB 620,SANTA BARBARA,CA,93108-2761
LIMBO CHIHUAHUAS - CHIHUAHUA RESCUE,453103418,6800 GULFPORT BLVD S 201-105,S PASADENA,FL,33707-2156
GRACE FALLS FARM CORPORATION,453106174,3100 S QUAIL TRL,TUCSON,AZ,85730-5635
DOGS ON DEPLOYMENT,453109600,970 W VALLEY PKWY BOX 667,ESCONDIDO,CA,92025-2554
ST KITTS SEA TURTLE MONITORING NETWORK INC,453116501,200 E SAINT JULIAN ST,SAVANNAH,GA,31401-2708
PEOPLE HELPING PAWS DOG RESCUE,453118539,PO BOX 6701,JEFFERSON CTY,MO,65102-6701
RURAL VETERINARY EXPERIENCE TEACHING AND SERVICE,453123611,7373 LEVEE RD,DIXON,CA,95620-9667
CANINE CARAVAN RESCUE INC,453125653,3968 WOBURN DRIVE,TUCKER,GA,30084-0000
DESERT PEARL RESCUE NETWORK,453136672,50276 CEDAR DR,MORONGO VLY,CA,92256-5708
WORKS FOR WILDLIFE ASSOCIATION,453139259,9084 N OSAGE DR,SPERRY,OK,74073-4446
BARK THERAPY DOGS,453149866,PO BOX 91478,LONG BEACH,CA,90809-1478
THANKFUL PAWS,453154034,4113 BUNGALOW LN,MCKINNEY,TX,75071-1984
PDX WILDLIFE,453155839,5223 SE 41ST AVE,PORTLAND,OR,97202-4236
CARES KS FOUNDATION,453196270,122 19TH RD,MILTONVALE,KS,67466-9104
DEAD DOGS WALKING TENNESSEE INC,453201269,575 BRIGHT HOPE RD,GREENEVILLE,TN,37743-8555
NEW YORK STATE RETRIEVER RESCUE INC,453203124,4856 N PERRY DR,BEVERLY HILLS,FL,34465-2963
FLORIDA LITTLE DOG RESCUE GROUP,453208425,PO BOX 702364,SAINT CLOUD,FL,34770-2364
COMMUNITY CATS INC,453219627,791 NORRIS RD,PRESCOTT,AZ,86305-2927
REIGNING GRACE RANCH,453219899,28150 N ALMA SCHOOL PKWY STE 103,SCOTTSDALE,AZ,85262-8049
HICKORY LEVEL HOUND RESCUE,453221292,202 BURNS RD,CARROLLTON,GA,30117-2508
PURRFECT TREASURES INC,453229998,31404 OLD RIVER RD,DENHAM SPGS,LA,70726-1213
TENNESSEE DEATH ROW DOGS,453231278,1148 W POINT RD,LAWRENCEBURG,TN,38464-6460
ALL 4 ONE RESCUE,453233149,PO BOX 5842,EDMOND,OK,73083-5842
COMMUNITY VETERINARY CARE INC,453248729,5911 PRIEST RD,ACWORTH,GA,30102-2106
ANIMAL REFUGEE RESPONSE,453248828,4770 MCEATHRON LN,VACAVILLE,CA,95688-9621
GONZALES DOG ADOPTIONS INC,453253427,PO BOX 192,GONZALES,TX,78629-0192
NBF RESCUE INC,453254409,7439 DOGWOOD LN,PLANTERSVILLE,TX,77363-4228
CORONADO COMMUNITY ANIMAL RESCUE & EDUCATION SOCIETY,453264972,PO BOX 181033,CORONADO,CA,92178-1033
BABETTES ANIMAL RESCUE INC,453267058,11740 SW 37TH CT,DAVIE,FL,33330-1706
ALLIANCE FOR CONTROL OF ANIMAL POPULATIONS,453274881,15 ABBOTT LN,SALMON,ID,83467-5000
HOME ON THE RANGE ANIMAL HAVEN,453275451,PO BOX 1674,LARAMIE,WY,82073-1674
RETRIEVING FREEDOM,453282513,20360 TANGLE NOOK RD,SEDALIA,MO,65301-0132
COMPASSIONATE ANIMAL RESCUE FOR MEDICAL AID INC,453324735,27672 CROWN VALLEY PARKWAY,MISSION VIEJO,CA,92691-6552
LIFE 9 RESCUE,453326559,2087 ALDER ST,EUGENE,OR,97405-2939
SAVE THE ANIMALS,453327957,20439 N FLETCHER WAY,PEORIA,AZ,85382-1421
WINGS OF RESCUE INC,453343408,PO BOX 602030,SAN DIEGO,CA,92160-2030
INSTITUTE FOR CONSERVATION RESEARCH AND EDUCATION,453344764,1100 W ARROYO DR,FULLERTON,CA,92833-2305
ANIMALS FIRST FOUNDATION OF TEXAS,453345507,907 HADRIAN ST,IRVING,TX,75062-7514
ANIMALS UNITED MOVEMENT,453368884,7521 DOWD DR,SEBASTOPOL,CA,95472-4451
CAT ATRIUM,453411665,703 REID HOOKER N,EADS,TN,38028-9786
GREAT ESCAPE INC,453417604,PO BOX 291,HYGIENE,CO,80533-0291
2 SHARE FOUNDATION,453420201,15396 N 83RD AVE D-102,PEORIA,AZ,85381-5627
ARIZONA WEIMARANER RESCUE,453436986,5404 W SANNA ST,GLENDALE,AZ,85302-4129
LLAMAS DEL SOL INC,453448955,605 EL DORADO DR NW,ALBUQUERQUE,NM,87114-1744
SHELTIE RESCUE ALTERNATIVE,453481067,7443 WHITAKER AVE,VAN NUYS,CA,91406-2732
NO BOUNDARIES ANIMAL RESCUE INC,453486647,PO BOX 176,FULTON,CA,95439-0176
KIMMELA CENTER FOR ANIMAL ADVOCACY INC,453504002,4100 KANAB CANYON DR,KANAB,UT,84741-5000
LUCKY DAY ANIMAL RESCUE OF COLORADO,453508032,122 STEWART DR,ASPEN,CO,81611-9714
COLORADO CITIZENS FOR CANINE WELFARE,453532052,PO BOX 22978,DENVER,CO,80222-0978
FREDERICKSBURG DOG PARK ASSOCIATION,453585872,123 W SAN ANTONIO ST,FREDERICKSBRG,TX,78624-3739
SKYWAY CAT CLUB INC,453591687,2695 65TH AVE S,ST PETERSBURG,FL,33712-5259
BACO FUND,453613865,581 S VINE ST,DENVER,CO,80209-4638
BUSTER VISION NONPROFIT,453614607,121 HOLLY TER,SUNNYVALE,CA,94086-6560
NO KILL MARICOPA COUNTY,453620954,29915 N 60TH ST,CAVE CREEK,AZ,85331-3047
FUR REAL FRIENDS ANIMAL RESCUE,453625172,4812 SADDLEHORN TRL,MIDDLEBURG,FL,32068-3295
CANINE LYMPHOMA EDUCATION AWARENESS AND RESEARCH INC,453625656,19223 PRAIRIE ST,NORTHRIDGE,CA,91324-2726
NEW BEGINNINGS ANIMAL RESCUE,453632430,PO BOX 1963,OLIVE BRANCH,MS,38654-2104
PURRFECT CATCH,453635104,328 EVERGREEN DR,S SAN FRAN,CA,94080-1238
WEST TEXAS AVIAN RESEARCH INC,453639557,103 COCHISE CANYON TRL,FORT DAVIS,TX,79734-3999
BUNNIES URGENTLY NEEDING SHELTER,453647785,PO BOX 193,GOLETA,CA,93116-0193
RECLAMATION HORSE HAVEN,453648949,PO BOX 24058,SILVERTHORNE,CO,80497-4058
FURREVER HOME ANIMAL RESCUE INC,453661443,13147 BREMAN RD,ELBERTA,AL,36530-3484
SAVANNAH CAT RESCUE INC,453665290,2934 22ND ST,SAN FRANCISCO,CA,94110-3324
PURRADISE RANCH INC,453665465,34833 N 3RD ST,PHOENIX,AZ,85086-7401
MIDWEST ANIMAL RESQ,453676666,10312 E 63RD ST,RAYTOWN,MO,64133-5108
LITTLE RED DOG INC,453682976,25422 TRABUCO RD STE 105 PMB 245,LAKE FOREST,CA,92630-2796
K- THA,453687010,44260 TAFFLE RANCH RD,HEMET,CA,92544-9711
VINTAGE PAWS SANCTUARY INC,453687769,7950 STATE ROAD 72,SARASOTA,FL,34241-9425
SAVING K9 LIVES PLUS INC,453690033,17412 VENTURA BLVD 911,ENCINO,CA,91316-3827
PURR HERD SANTCUARY,453690282,7655 W AVENUE A2,LANCASTER,CA,93536-9532
TLC THERAPY HOOVES INC,453690372,6002 PANTHER PL,SEBRING,FL,33875-6311
K-9 ANGELS RESCUE,453710037,9415 WINSOME LN,HOUSTON,TX,77063-3903
CENTRAL FLORIDA WEIMARANER & DOG RESCUE INC,453711133,5801 SW FOX BROWN RD,INDIANTOWN,FL,34956-9771
MARION ANIMAL RESOURCE CONNECTION,453711812,225 SEQUATCHIE LN,SEQUATCHIE,TN,37374-5094
THERE IS HOPE ANIMAL RESCUE FOUNDATION,453728198,14133 REMINGTON ST,ARLETA,CA,91331-5361
DORI DARLINGS,453738296,12633 MEMORIAL DR APT 84,HOUSTON,TX,77024-4843
INTERNATIONAL VETERINARY OUTREACH,453738430,PO BOX 590938,SAN FRANCISCO,CA,94159-0938
PERCY AND DONNA MALONE CHILD SAFETY CENTER INC,453740594,442 MT ZION ROAD,ARKADELPHIA,AR,71923-0000
ENGLISH BULLDOG RESCUE NETWORK INC,453743601,22806 BANEBERRY RD,MAGNOLIA,TX,77355-6984
SAVE THE GIANTS,453748620,6488 SIMMS ST APT B,ARVADA,CO,80004-2674
WAGS AND WALKS,453749303,2236 FEDERAL AVE,LOS ANGELES,CA,90064-1404
GRANITE SPAY NEUTER PROJECT,453762329,82 MILE HIGH TRL,HALL,MT,59837-9705
CLARKSDALE ANIMAL RESCUE EFFORT & SHELTER INC,453765360,PO BOX 142,CLARKSDALE,MS,38614-0142
FUNDS 4 FURRY FRIENDS INC,453774017,601 RIDGE CROSSING DR,WOODSTOCK,GA,30189-7005
RESQPAWS,453778118,1811 DAPHNE LN,YUBA CITY,CA,95993-8629
PAMMYS SECOND CHANCE RESCUE,453780321,5209 S 110TH AVE,TOLLESON,AZ,85353-9120
HELPING ANIMALS RESCUE TEAM,453785952,1291 POTATO FARM RD,CROSSVILLE,TN,38571-0760
MISSOURI FORGET-ME-NOT HORSE RESCUE AND SANCTUARY,453787871,981 HERITAGE RD,LINN CREEK,MO,65052-2122
EASTERN PLAINS ANIMAL WELFARE ALLIANCE,453791573,2000 ROSE AVE,BURLINGTON,CO,80807-1448
PAWS ASSISTING VETERANS,453793511,PO BOX 871,CORNELIUS,OR,97113-0871
GOOD MEWS RESCUE,453806344,5913 INDIGO ST,HOUSTON,TX,77074-7733
BOONE COUNTY ANIMAL CARE,453808929,3800 COATS LN,COLUMBIA,MO,65203-8569
MY SECOND HOME RESCUE INC,453819164,13433 COUNTY ROAD 108,CARR,CO,80612-9015
SEAGOVILLE TEXAS ANIMAL ADVOCATES & RESCUE,453819540,937 PIONEER RD,MESQUITE,TX,75149-5260
WILD HORSE MOUNTAIN RANCH- A RESCUE AND LEARNING CENTER,453821688,27400 SW LADD HILL RD,SHERWOOD,OR,97140-5025
HASRA INC,453828520,306 KNIGHTS BRIDGE RD,FLORENCE,AL,35630-1114
PURR-A-LOT CAT SHELTER CORP,453828871,12806 S MEMORIAL DR UNIT 111,BIXBY,OK,74008-2591
BALD AND BULLY,453832270,1712 NW 3RD ST,OKLAHOMA CITY,OK,73106-2811
SAVAGE RANCH,453835712,39100 AIR PARK DR,TEMECULA,CA,92592-8881
SAVING GRACE ANIMAL SANCTUARY,453837591,1575 SIERRA HWY,ACTON,CA,93510-1894
AIR TWIGA ANIMAL RESCUE INC,453843224,6479 US HIGHWAY 93 S,WHITEFISH,MT,59937-8238
VICTORIA TRAP NEUTER RETURN,453850309,PO BOX 3661,VICTORIA,TX,77903-3661
CEDAR HILL PET MEMORIAL PROJECT INC,453851007,PO BOX 1418,CEDAR HILL,TX,75106-1418
FOREVER YOURS DOG RESCUE INC,453851948,15208 MEGAN CIR,OKLAHOMA CITY,OK,73170-7532
NORTHWEST BOXER RESCUE,453852074,PO BOX 113,MCMINNVILLE,OR,97128-0113
NGOGO CHIMPANZEE PROJECT INC,453861462,1120 E ALMERIA RD,PHOENIX,AZ,85006-2214
BERCHERT RANCH ANIMAL RESCUE INC,453868128,31715 US HIGHWAY 24 N,BUENA VISTA,CO,81211-9872
PETS ARE WORTH SAVING,453902840,PO BOX 93,CORONA,CA,92878-0093
YOUCANMAKEADIFFERENCE,453909484,PO BOX 1050,GRETNA,FL,32332-1050
HUMANE SOCIETY OF SOUTHERN GILA COUNTY INC,453925541,PO BOX 1241,CLAYPOOL,AZ,85532-1241
LEFT BEHIND K-9 RESCUE,453936564,PO BOX 8601,COVINGTON,WA,98042-0053
FUREVER ANIMAL RESCUE,453954430,2687 CORNELIUS DR,SAN PABLO,CA,94806-1660
HEALING PAWS FOR HEROES,453959794,214 KEN ST NW,ADAIRSVILLE,GA,30103-4635
THE PET COMPASSION CENTERS,453972342,PO BOX 25034,MEMPHIS,TN,38125-8001
FURLONG FURLOUGH FARM INC,453977963,13263 55TH RD N,WEST PALM BCH,FL,33411-8326
FUR KIDS FOUNDATION,453984478,PO BOX 7074,GILLETTE,WY,82717-7074
TRUNKS & LEAVES INC,453996546,10252 PARKDALE AVE,SAN DIEGO,CA,92126-3558
HELPING OVERPOPULATION OF PETS END INC,454023836,1465 CYPRESS AVE,MELBOURNE,FL,32935-5926
ANIMAL AID,454027119,213 TELLICO AVE E,ATHENS,TN,37303-1965
REDEMPTION ROAD RESCUE INC,454027924,500 US HIGHWAY 412 E,JACKSON,TN,38305-9038
ANIMAL SERVICES AND OPERATIONS SUPPORT,454038013,8734 WHITESVILLE RD,COLUMBUS,GA,31904-1320
YOU LUCKY DOG RESCUE AND SANCTUARY INC,454038998,PO BOX 3537,ALPHARETTA,GA,30023-3537
COLORADO AVIAN RESEARCH AND REHABILITATION INSTITUTE INC,454039549,PO BOX 3351,ESTES PARK,CO,80517-3351
MAVYN,454042246,2621 E GRANDVIEW RD,PHOENIX,AZ,85032-2921
MONTGOMERY COUNTY ANIMAL SOCIETY,454042598,PO BOX 130448,THE WOODLANDS,TX,77393-0448
CINDYS PETS INC,454047109,8100 MITCHELL RANCH RD,TRINITY,FL,34655-3002
SAVE A STRAY,454059586,513 W I65 SERVICE RD N,MOBILE,AL,36608-1205
KITTEN CENTRAL NORCAL,454060879,5130 FRUITVALE RD,NEWCASTLE,CA,95658-9633
JEREMIAHS FOUNDATION,454066315,30725 US HIGHWAY 19 N 199,PALM HARBOR,FL,34684-0000
SOFT LANDINGS WATERFOWL RESCUE INC,454070167,4174 OAK RD,BARTLETT,TN,38135-1872
TREASURED TAILS CANIINE RESCUE,454092716,22181 LOCH LOMOND DR,CANYON LAKE,CA,92587-7548
UMBRELLA OF HOPE,454103375,4040 RAILROAD AVE,PITTSBURG,CA,94565-6532
DACHSHUND DIGS,454117068,1868 LYNNWOOD HILLS DR,FORT WORTH,TX,76112-7533
TINY TIMS PALS ALL PET RESCUE,454122648,16039 WILLETT WAY,ANDERSON,CA,96007-8210
HARLINGEN NEIGHBORHOOD FOOD PANTRY INC,454123878,PO BOX 937,HARLINGEN,TX,78551-0937
HEART ANIMAL RESCUE,454131444,PO BOX 607,DEFUNIAK SPGS,FL,32435-0607
NATIONAL CATTLEDOG ASSOCIATION,454136812,623 N 250TH ST,MULBERRY,KS,66756-4000
SOUL DOG RESCUE,454137227,1245 FACTORY DR,FORT LUPTON,CO,80621-2810
SAN ANTONIO PETS ALIVE INC,454141531,4606 CENTERVIEW STE 240,SAN ANTONIO,TX,78228-1232
HELPING OUT PETS IN EFFINGHAM INC,454146504,PO BOX 2601,RINCON,GA,31326-2601
DAZZLE AFRICA,454150138,11700 W CHARLESTON BLVD,LAS VEGAS,NV,89135-1573
ANYTHING FOR DA BULLIES FOUNDATION INC,454155515,1300 ADJ LN,FREDERICKSBRG,TX,78624-3789
DOG RESCUE WITHOUT BORDERS,454158598,6680 ENCELIA PL,CARLSBAD,CA,92011-3612
SHOREBASED WHITING COOPERATIVE,454159497,4005 20TH AVE W STE 116,SEATTLE,WA,98199-1290
HORSE RESCUE STATION INC,454172412,2532 KENDALL DR,SN BERNRDNO,CA,92407-2413
ALASKAN ANIMAL RESCUE FRIENDS,454185334,2440 E TUDOR RD 105,ANCHORAGE,AK,99507-1185
SANTA PAULA ANIMAL RESCUE CENTER INC,454185395,171 E THOUSAND OAKS BLVD NUM 100,THOUSAND OAKS,CA,91360-5712
MIRANDAS PEOPLE,454188454,306 N MADISON AVE,MONROVIA,CA,91016-1516
SAVING COMPANIONS RESCUE,454204024,1425 WATER TOWER RD,CEDAR GROVE,TN,38321-6411
COLORADO PET PANTRY,454210185,PO BOX 323,BOULDER,CO,80306-0323
A SAFEFURR PLACE ANIMAL RESCUE INC,454217031,4208 ROSEDALE HWY STE 302 # 146,BAKERSFIELD,CA,93308-6173
BARK PARK - ALAMO HEIGHTS LTD,454224574,536 OGDEN LN,SAN ANTONIO,TX,78209-5143
ATLANTA GOLDEN RETRIEVER CLUB INC,454228943,1393 BERINGER DRIVE,HOSCHTON,GA,30548-0000
LUV OF DOGZ FUND INC,454235171,6929 NORTH HAYDEN ROAD STE C 4 254,SCOTTSDALE,AZ,85250-7978
DAWGS ON THE RUN,454239291,1060 SKI RUN BLVD STE 100,SOUTH LAKE TAHOE,CA,96150-7478
JULIE COALE MEMORIAL ANIMAL SANCTUARY,454248510,1642 FM 2673,CANYON LAKE,TX,78133-4542
BELZONI ANIMAL RESCUE KENNEL,454249277,PO BOX 1015,BELZONI,MS,39038-1015
FRIENDS OF CASI,454254187,112 N CURRY ST,CARSON CITY,NV,89703-4934
CRUZIN CRITTERS,454254311,15848 LOMBARDY AVE,TURLOCK,CA,95380-9008
SHELTER TRANSPORT ANIMAL RESCUE TEAM,454258426,12939 BLOOMFIELD ST,STUDIO CITY,CA,91604-1402
HOLLY CREEK STAR CENTER,454265799,3680 DELLWOOD RD,LOXAHATCHEE,FL,33470-2445
SALMON ENHANCEMENT ALLIANCE,454272625,PO BOX 2924,SALT LAKE CTY,UT,84110-2924
SAFE HARBOR ANIMAL RESCUE,454273143,9784 LAKE POINT CT,JONESBORO,GA,30236-6118
SAVING PAWS RESCUE AZ,454279574,PO BOX 87148,PHOENIX,AZ,85080-7148
CHRISTIAN WATERFOWLERS ASSOCIATION,454280276,13806 LITTLE ELM RD,FARMINGTON,AR,72730-8731
HOUSTON COCKER SPANIEL RESCUE,454288670,5 VINEBROOK RD,THE WOODLANDS,TX,77380-4306
ROCKY RIDGE REFUGE INC,454288863,PO BOX 105,MIDWAY,AR,72651-0105
RAPTOR INSTITUTE,454297321,6271 SEVERIN DR,LA MESA,CA,91942-3703
TLR HORSE RESCUE AND YOUTH RANCH FOUNDATION,454307996,194348 N 4223 RD,ANTLERS,OK,74523-7357
FORGOTTEN PET ADVOCATES,454323174,219 COUNTY ROAD 294,ALVIN,TX,77511-1167
STRAWBERRY FIELDS ANIMAL RESCUE,454328952,1465 SANDSTONE DR,WELLINGTON,NV,89444-9448
ANIMAL HAVEN BY THE SEA,454358988,35170 THE GLADE,NEHALEM,OR,97131-9718
VEGAS SHEPHERD RESCUE,454360418,2620 REGATTA DR STE 102,LAS VEGAS,NV,89128-6892
ANIMAL WELLNESS FOUNDATION,454361755,PO BOX 9686,MARINA DL REY,CA,90295-2086
WAGS HOPE AND HEALING,454367407,17206 W BEACH RD,AUSTIN,TX,78734-1034
ASSOCIATION FOR HUMAN-ANIMAL BOND STUDIES,454371158,14151 TARZANA RD,POWAY,CA,92064-2849
DREAM ANIMAL RESCUE,454378128,PO BOX 2432,MISSION VIEJO,CA,92690-0432
APOLLO SUPPORT & RESCUE INC,454405446,1170 DOVE HILL RD,JUSTIN,TX,76247-6800
DOGGONEEXPRESS INC,454406087,31058 HIGHWAY 1055,MOUNT HERMON,LA,70450-6836
HALO CAFE INC,454412728,4138 W ELLERY WAY,FRESNO,CA,93722-3557
ROTTEN ROTTIE RESCUE INC,454422406,335 S GRANITE CT,GILBERT,AZ,85296-1949
DIVINE EQUINE THERAPEUTIC RIDING CENTER,454429001,2822 LUELLA RD76,SHERMAN,TX,75090-5149
CITIZEN K9 CLUB AND RESCUE,454431194,3890 S NELLIS BLVD,LAS VEGAS,NV,89121-3116
WORLD WATUSI ASSOCIATION INC,454438601,PO BOX 201,WALNUT SPGS,TX,76690-0201
ESCALANTE SPRINGS EQUINE RESCUE & REHABILITATION INC,454448225,17121 W STARR RD,MARANA,AZ,85653-8568
CRITTERVILLE FOUNDATION,454448271,2140 BOWLER RD,WALLER,TX,77484-9799
TEXAS SLED DOG RESCUE,454448916,4718 ZACHARY LN,SUGAR LAND,TX,77479-5418
LOLAS RESCUE,454450928,6005 S TAFT WAY,LITTLETON,CO,80127-2314
HELPING PAWS ANIMAL RESCUE INC,454460352,20688 STATE HIGHWAY 76,BLANCHARD,OK,73010-4676
BARK N REST RETIREMENT CENTER,454466506,PO BOX 1921,AZLE,TX,76098-1921
ALL KITTY KORNER INC,454468199,310 10TH AVE E,PALMETTO,FL,34221-4276
RETIRED POLICE CANINE FOUNDATION INC,454474058,PO BOX 5687,SPRING HILL,FL,34611-5687
TINY TAILS SMALL DOG RESCUE,454476343,1304 SW 30TH ST,OKLAHOMA CITY,OK,73119-2306
FRIENDS OF LUMPKIN COUNTY SHELTER ANIMALS,454479618,1363 RED OAK FLATS RD,DAHLONEGA,GA,30533-8271
PLENTY OF PITBULLS INC,454479840,7917 SW 90TH LN,GAINESVILLE,FL,32608-6225
KINDNESS MATTERS INC,454482882,4233 ZEPHYRHILLS DR NW,ACWORTH,GA,30101-6606
RHINO MERCY,454484110,PO BOX 381,CHELAN,WA,98816-0381
GALLCENOS OF SUWANNEE INC,454488271,10036 191ST RD,LIVE OAK,FL,32060-5944
DOGINGHAM PALACE RESCUE,454489007,5912 COLCHESTER DR,HERMITAGE,TN,37076-4406
ANIMAL RESCUE COALITION OF HAWAII,454497464,67-1185 MAMALAHOA HWY UNIT D104,KAMUELA,HI,96743-8412
SECOND CHANCE BIRD RESCUE & REHAB WEST COAST DIVISION,454503149,19804 DAYTON ROAD,BEND,OR,97703-0000
GUATEMALA UNITED FOR ANIMALS INC,454512439,6811 10TH AVE N,ST PETERSBURG,FL,33710-6149
ANIMAL RESCUE ALLIANCE,454520205,10945 OLD SANTA SUSANA PASS RD,CHATSWORTH,CA,91311-1205
AGAPORNIS BREEDERS & EXHIBITORS,454520221,PO BOX 860013,PLANO,TX,75086-0013
JOYFUL HORSE PROJECT,454522043,172 HILLS PRAIRIE RD,BASTROP,TX,78602-3270
PROJECT THRIVE,454523158,22249 HIGHWAY 52,HUDSON,CO,80642-9207
SOUTHERN ARIZONA GREYHOUND ADOPTION,454526305,1517 N WILMOT RDPMB 175,TUCSON,AZ,85712-0000
HOPE FOR HORSES INC,454538139,PO BOX 306,GALT,CA,95632-0306
GHETTO RESCUE FFOUNDATION,454543297,751 S WEIR CANYON RD STE 157,ANAHEIM,CA,92808-1800
ZEBS WISH EQUINE SANCTUARY,454546052,34950 SE COLORADO RD SANDY OR 9705,SANDY,OR,97055-8270
PETS TRUST MIAMI INC,454554798,13030 N CALUSA CLUB DR,MIAMI,FL,33186-1704
TADSAW INC,454556055,5830 SPRING VLY,SAN ANTONIO,TX,78247-1603
WILDSIDES,454575127,11714 QUAIL VILLAGE WAY,NAPLES,FL,34119-8836
ANGELS AMONG US ANIMAL RESCUE-HTCASA,454579380,PO BOX 6163,BRIGHTON,TN,38011-0000
HARDEMAN ADOPTABLE ANIMALS INC,454588559,315 CLIFFT RD,BOLIVAR,TN,38008-8330
RED CLAY RANCH EQUINE RESCUE & SANCTUARY INC,454590603,364 PARKER RD,LYERLY,GA,30730-5060
WESTERN WILDLIFE OUTREACH,454591214,PO BOX 6413,OLYMPIA,WA,98507-6413
SOUTHERN COUNTIES RESCUE INC,454597576,PO BOX 1399,BRAWLEY,CA,92227-1399
TWISTED BRANCH AUSSIE RANCH,454598113,4854 POINT LAVISTA,MALAKOFF,TX,75148-3916
XTREME BULLY RESCUE INC,454602641,5803 EVANS RD,TEXARKANA,TX,75501-9084
THE 1 SANCTUARY INC,454615263,19401 SW 187TH AVE,MIAMI,FL,33187-2404
WESTERN NAVARRO BOBWHITE RECOVERY INITIATIVE,454620056,PO BOX 116,BLOOMING GRV,TX,76626-0116
BOOMERANG ANIMAL RESCUE LEAGUE INC,454620378,13784 US HIGHWAY 29,ANDALUSIA,AL,36420-7231
HELENS HAVEN ANIMAL RESCUE & SANCTUARY,454625489,6017 SNELL AVENUE 494,SAN JOSE,CA,95123-4127
TWO SUMMERS PROJECT,454625510,1061 NICHOLS RD,LENOIR CITY,TN,37772-4173
SILS AFFORDABLE VET CARE,454631209,17208 US HIGHWAY 34,FORT MORGAN,CO,80701-4101
TRI CITY HOMING PIGEON CLUB,454635301,4083 OAKWOOD DR,FAIRFIELD,CA,94534-1410
TENTH LIFE FOUNDATION,454636520,1301 EUGENIA AVE,SAN FRANCISCO,CA,94110-5647
CONTRA COSTA RABBIT RESCUE,454641631,PO BOX 4631,ANTIOCH,CA,94531-4631
PERFECT FIT EQUINE RESCUE,454641964,2000 BARRETT AVE,MORGAN HILL,CA,95037-9582
LOST PETS FOUNDATION INC,454645574,606 RIVIERA DUNES WAY APT 602,PALMETTO,FL,34221-7143
OHTH INC,454654646,2730 MONTICELLO DR,HOUSTON,TX,77045-3712
FRANCIS HALBROOK HENSLEY ANIMAL SHELTER,454658406,78 MIG DR,LEXINGTON,TN,38351-2235
TENNESSEE RIVER HUNTING RETRIEVER CLUB,454660034,539 EAST HIGHWAY 22,UNION CITY,TN,38261-0000
SADDLE MOUNTAIN DOG RESCUE,454664383,27161 VANTAGE HWY,ELLENSBURG,WA,98926-7178
DOVE CREEK EQUINE RESCUE & SANCTUARY,454668951,16201 GORDON CUMMINGS RD,CANYON,TX,79015-8300
YERINGTON AREA CAT CONTROL YACC,454674798,40 LUZIER LN,YERINGTON,NV,89447-9739
CHESHIRE ABBEY,454678119,1819 MEADOWBROOK RD,JACKSON,MS,39211-6526
GENTLE SOULS HORSE SANCTUARY INC,454685931,738 BRADLEY WYATT RD,PIKEVILLE,TN,37367-7408
PET RESCUE NETWORK,454704178,9695 KROMMER RD,CEDAR HILL,MO,63016-4006
READ TO SYDNEY INC,454708156,PO BOX 1519,MINNEOLA,FL,34755-1519
