Number,State,State_Code,Organization_Name,Type,Email,Phone,Website,Address,City,Zip_Code,Description
TX020,Texas,TX,Little Elm Animal Services,Municipal,thoofnagle@littleelm.org,972-377-1898,,,Little Elm,,Municipal. Town shelter supported by the non-profit Friends of the Little Elm Animal Shelter.
TX021,Texas,TX,Allen Animal Control,Municipal,,,"cityofallen.org",,Allen,,Municipal. City division responsible for animal control and sheltering.
TX022,Texas,TX,The Colony Animal Services,Municipal,,,"thecolonytx.gov",,The Colony,,Municipal. Animal services division for The Colony.
TX023,Texas,TX,Coppell Animal Services,Municipal,,,"coppelltx.gov",,Coppell,,Municipal. City shelter and control services.
TX024,Texas,TX,Flower Mound Animal Services,Municipal,,,"flower-mound.com",,Flower Mound,,Municipal. Serves the Town of Flower Mound.
TX025,Texas,TX,Grapevine Animal Services,Municipal,,,"animalservices.grapevinetexas.gov",,Grapevine,,Municipal. Shelter and control services for Grapevine.
TX026,Texas,TX,Keller Animal Services,Municipal,,,"cityofkeller.com",,Keller,,Municipal. Serves Keller handling adoptions and control.
TX027,Texas,TX,Weatherford/Parker County Animal Shelter,Municipal,,,"weatherfordtx.gov",,Weatherford,,Municipal. Large facility serving Weatherford and Parker County west of DFW.
TX028,Texas,TX,Wise County Animal Control,Municipal,,,"co.wise.tx.us",,Decatur,,Municipal. County agency overseeing animal control and sheltering for Decatur and Wise County.
TX029,Texas,TX,Waxahachie Animal Control,Municipal,,,"waxahachie.com",,Waxahachie,,Municipal. City shelter serving Waxahachie.
TX030,Texas,TX,Rockwall Animal Services,Municipal,,,"rockwall.com",,Rockwall,,Municipal. City division for animal services. Some services may contract with SPCA of Texas.
TX031,Texas,TX,Rowlett Animal Shelter,Municipal,,,"ci.rowlett.tx.us",,Rowlett,,Municipal. City shelter for Rowlett.
TX032,Texas,TX,Seagoville Animal Services,Municipal,,,"seagoville.us",,Seagoville,,Municipal. Shelter services for Seagoville.
TX033,Texas,TX,East Lake Pet Orphanage,Private Non-Profit,,,"eastlakepetorphanage.com",,Dallas,,Private Non-Profit. A rescue organization connecting people and pets providing medical care and rehabilitation.
TX034,Texas,TX,BARC Animal Shelter & Adoptions,Municipal,BARCadoptions@houstontx.gov,832-395-9084,,,Houston,,Municipal. The City of Houstons primary shelter. Required by law to accept all strays. Managing high-volume intake and rabies control.
TX035,Texas,TX,Houston Humane Society,Private Non-Profit,,713-433-6421,"houstonhumane.org",,Houston,,Private Non-Profit. Large organization offering low-cost medical services cruelty investigations and adoption.
TX036,Texas,TX,Houston SPCA,Private Non-Profit,,713-869-7722,"houstonspca.org",,Houston,,Private Non-Profit. The largest animal protection agency in the region. Handles cruelty investigations disaster response and wildlife rehabilitation.
TX037,Texas,TX,Harris County Pets (HCPHES),Municipal,,281-999-3191,,,Houston,,Municipal. Shelter for unincorporated Harris County. Distinct from BARC. Focuses on public health rabies control and licensing.
TX038,Texas,TX,Citizens for Animal Protection (CAP),Private Non-Profit,info@cap4pets.org,281-497-0591,,,Houston,,Private Non-Profit. Major shelter on the west side of Houston offering adoption fostering and education programs.
TX039,Texas,TX,Friends For Life,Private Non-Profit,,,"friends4life.org",,Houston,,Private Non-Profit. No-kill shelter and rescue focused on behavioral rehabilitation and keeping pets in homes. Operates a pet food pantry.
TX040,Texas,TX,Special Pals,Private Non-Profit,info@specialpals.org,281-579-7387,,,Houston,,Private Non-Profit. Oldest no-kill shelter in the metro area. Focuses on high-volume adoption and rescue transfers.
TX041,Texas,TX,Fort Bend County Animal Services,Municipal,,281-342-1512,,,Rosenberg,,Municipal. County facility serving Fort Bend. Actively engaging in Dogs Playing for Life and community outreach.
TX042,Texas,TX,Rosenberg Animal Control,Municipal,,832-595-3490,,,Rosenberg,,Municipal. Control agency for the City of Rosenberg.
TX043,Texas,TX,Sugar Land Animal Services,Municipal,,281-275-2364,,,Sugar Land,,Municipal. Shelter for the City of Sugar Land. Emphasizes reunification of lost pets.
TX044,Texas,TX,Missouri City Animal Control,Municipal,,281-403-8707,,,Missouri City,,Municipal. Services for Missouri City focusing on public safety and code enforcement.
TX045,Texas,TX,Bay Area SPCA,Private Non-Profit,info@bayaeapetadoptions.org,281-339-2086,,,San Leon,,Private Non-Profit. Galveston Countys only no-kill shelter serving the Bay Area/Gulf Coast region.
TX046,Texas,TX,Galveston Island Humane Society,Private Non-Profit,,,"galvestonhumane.org",,Galveston,,Private Non-Profit. Contracts with the City of Galveston to provide municipal sheltering services.
TX047,Texas,TX,Three Little Pitties Rescue,Private Rescue,,,"threelittlepittiesrescue.org",,Friendswood,,Private Rescue. Major transport-focused rescue. Rehabilitates dogs/cats in TX and transports them to the PNW and East Coast.
TX048,Texas,TX,ADORE Houston,Private Rescue,info@adorehouston.org,,,,Houston,,Private Rescue. All Dogs Official Rescue Enterprise. Focuses on rescue and adoption.
TX049,Texas,TX,Animal Justice League,Private Rescue,info@animaljusticeleague.org,,,,Houston,,Private Rescue. Rescue group focused on saving homeless animals in Houston.
TX050,Texas,TX,Houston Pets Alive!,Private Rescue,,,"houstonpetsalive.org",,Houston,,Private Rescue. Focuses on saving at-risk animals from municipal shelters modeled after Austin Pets Alive!.
TX051,Texas,TX,Scouts Honor Rescue,Private Rescue,info@scoutshonor.org,,,,Houston,,Private Rescue. Foster-based rescue in Houston.
TX052,Texas,TX,Second Chance Pets,Private Rescue,pets2adopt@yahoo.com,,,,League City,,Private Rescue. Rescue group serving the League City area.
TX053,Texas,TX,Wag Again Rescue,Private Rescue,info@wagagain.dog,,,,Pearland,,Private Rescue. Pearland-based rescue group.
TX054,Texas,TX,A Smart Rescue,Private Rescue,Public_Relations@SMARTPetz.com,,,,Spring,,Private Rescue. Rescue and sanctuary serving North Harris and Montgomery Counties.
TX055,Texas,TX,Abandoned Animal Rescue (AAR),Private Rescue,,281-789-4142,,,Magnolia,,Private Rescue. Shelter and rescue serving the Magnolia area.
TX056,Texas,TX,Corridor Rescue,Private Rescue,info@corridorrescue.org,,,,Houston,,Private Rescue. Focuses on the Corridor of Cruelty area in Northeast Houston.
TX057,Texas,TX,Cypress Lucky Mutt Rescue,Private Rescue,luckymuttrescuecypress@gmail.com,,,,Cypress,,Private Rescue. Foster-based rescue in Cypress.
TX058,Texas,TX,Day of the Dogs,Private Rescue,Info.dayofthedogs@gmail.com,,,,Cypress,,Private Rescue. Rescue organization in Cypress.
TX059,Texas,TX,Fuzzy Texan Animal Rescue,Private Rescue,,512-766-7374,,,Houston,,Private Rescue. Focuses on special needs dogs and cats.
TX060,Texas,TX,H.A.R.T. (Houston Animal Rescue Team),Private Rescue,1hartrescue@gmail.com,,,,Houston,,Private Rescue. Foster-based rescue team.
TX061,Texas,TX,Heart of the Underdog,Private Rescue,heartoftheunderdog.rescue@gmail.com,,,,Houston,,Private Rescue. Focuses on helping overlooked or underdog animals.
TX062,Texas,TX,Mission For Paws,Private Rescue,missionforpaws@att.net,,,,Pasadena,,Private Rescue. Rescue group operating in Pasadena.
TX063,Texas,TX,Pup Squad Animal Rescue,Private Rescue,PupSquadAdoption@gmail.com,,,,Houston,,Private Rescue. Focuses on mother dogs with nursing litters and orphaned puppies.
TX064,Texas,TX,Texas Animal Society,Private Rescue,info@texasanimalsociety.com,,,,Spring,,Private Rescue. Spring-based rescue organization.
TX065,Texas,TX,City of La Porte Animal Services,Municipal,,,"laportetx.gov",,La Porte,,Municipal. City shelter services for La Porte.
TX066,Texas,TX,League City Animal Shelter,Municipal,,,"leaguecitytx.gov",,League City,,Municipal. City shelter managing adoptions and animal control.
TX067,Texas,TX,Pearland Animal Services,Municipal,,,"pearlandtx.gov",,Pearland,,Municipal. City shelter for Pearland.
TX068,Texas,TX,Pasadena Animal Control,Municipal,,,"pasadenatx.gov",,Pasadena,,Municipal. Large municipal shelter for the City of Pasadena.
TX069,Texas,TX,Austin Animal Center,Municipal,,311,"austintexas.gov",,Austin,,Municipal. The primary shelter for the City of Austin and Travis County. Mandated to maintain a >95% live release rate. Open intake.
TX070,Texas,TX,Austin Pets Alive! (APA!),Private Non-Profit,,,"austinpetsalive.org",,Austin,,Private Non-Profit. Pioneering no-kill organization that saves the most at-risk animals from the municipal shelter. Operates innovative programs for Parvo and neonates.
TX071,Texas,TX,Austin Humane Society,Private Non-Profit,,,"austinhumanesociety.org",,Austin,,Private Non-Profit. Austins longest-standing private shelter. Focuses on prevention education adoption and disaster response.
TX072,Texas,TX,San Antonio Animal Care Services,Municipal,,,"sa.gov/acs",,San Antonio,,Municipal. Primary open-intake shelter for the City of San Antonio. Operates with a focus on public safety and live release through partnerships.
TX073,Texas,TX,Animal Defense League of Texas,Private Non-Profit,,210-655-1481,"adltexas.org",,San Antonio,,Private Non-Profit. Established in 1934 this is a major no-kill shelter providing medical treatment and adoption services on a large campus.
TX074,Texas,TX,San Antonio Humane Society,Private Non-Profit,,210-226-7461,"sahumane.org",,San Antonio,,Private Non-Profit. No-kill shelter operating independently of the city. Offers spay/neuter clinics and community education.
TX075,Texas,TX,Bexar County Animal Control,Municipal,bexaranimalcare@bexar.org,210-335-9000,,,San Antonio,,Municipal. Serves unincorporated Bexar County. Primarily public safety/health.
TX076,Texas,TX,Williamson County Regional Animal Shelter,Municipal,wcras@wilco.org,512-943-3322,,,Georgetown,,Municipal. Collaborative shelter serving Round Rock Cedar Park Leander Hutto and the County. The only open-intake no-kill shelter in this specific area.
TX077,Texas,TX,Texas Humane Heroes,Private Non-Profit,info@texashumaneheroes.org,512-260-3602,,,Leander,,Private Non-Profit. Regional organization with adoption centers in Leander and Killeen. Focuses on transferring animals from overcrowding rural shelters.
TX078,Texas,TX,PAWS Shelter of Central Texas,Private Non-Profit,,,"pawsshelter.org",,Kyle,,Private Non-Profit. Operates two campuses in Hays County. Provides refuge and adoption for homeless animals.
TX079,Texas,TX,San Marcos Animal Shelter,Municipal,,512-805-2650,,,San Marcos,,Municipal. Regional facility serving San Marcos and Hays County. Licensed quarantine facility.
TX080,Texas,TX,Central Texas SPCA,Private Non-Profit,info@centraltexasspca.org,512-260-7722,,,Cedar Park,,Private Non-Profit. A private no-kill shelter operating in Williamson County. Distinct from the SPCA of Texas.
TX081,Texas,TX,Killeen Animal Services,Municipal,,254-526-4455,,,Killeen,,Municipal. Open intake facility for the City of Killeen. Partners with local rescues for transfers.
TX082,Texas,TX,Lampasas Animal Shelter,Municipal,,,"lampasas.org",,Lampasas,,Municipal. Collaborative effort between City and County. Staffed by Animal Control Officers.
TX083,Texas,TX,Hill Country SPCA,Private Non-Profit,,,"hillcountryspca.com",,Fredericksburg,,Private Non-Profit. Serving the Hill Country region. Focuses on adoption and community assistance.
TX084,Texas,TX,Highland Lakes SPCA,Private Non-Profit,,,"highlandlakesspca.org",,Marble Falls,,Private Non-Profit. No-kill shelter serving Burnet County and surrounding areas.
TX085,Texas,TX,New Braunfels Animal Services,Municipal,,,"nbtexas.org",,New Braunfels,,Municipal. City shelter managing animal control and adoptions for New Braunfels.
TX086,Texas,TX,Humane Society of the New Braunfels Area,Private Non-Profit,,,"hsnba.org",,New Braunfels,,Private Non-Profit. Partners with the city to increase live outcomes.
TX087,Texas,TX,Guadalupe County Humane Society,Private Non-Profit,,,"gchsanimals.com",,Seguin,,Private Non-Profit. Serving Guadalupe County.
TX088,Texas,TX,Seguin Animal Services,Municipal,,,"seguintexas.gov",,Seguin,,Municipal. City animal control and shelter.
TX089,Texas,TX,Lockhart Animal Shelter,Municipal,,512-398-4401,,,Lockhart,,Municipal. City shelter for Lockhart.
TX090,Texas,TX,Bastrop County Animal Shelter,Municipal,,,"co.bastrop.tx.us",,Bastrop,,Municipal. County shelter serving the Bastrop area.
TX091,Texas,TX,Lubbock Animal Services,Municipal,,,,,,Lubbock,,Municipal. The primary high-volume intake facility for the South Plains region. Handles animal control for the City of Lubbock.
TX092,Texas,TX,Amarillo Animal Management & Welfare,Municipal,,,,,,Amarillo,,Municipal. Serves the Panhandle region. Operates the city shelter and enforces animal ordinances.
TX093,Texas,TX,Amarillo SPCA,Private Non-Profit,,,,,,Amarillo,,Private Non-Profit. Private shelter serving Amarillo and the Panhandle.
TX094,Texas,TX,Midland Animal Services,Municipal,,,,,,Midland,,Municipal. City facility handling animal control and adoptions for Midland.
TX095,Texas,TX,Grand Companions Humane Society,Private Non-Profit,,,,,,Fort Davis,,Private Non-Profit. Serving the Davis Mountains/Big Bend region. Critical resource in a very sparse area.
TX096,Texas,TX,San Angelo Animal Services,Municipal,,,,,,San Angelo,,Municipal. City shelter for San Angelo.
TX097,Texas,TX,Concho Valley PAWS,Private Non-Profit,,,,,,San Angelo,,Private Non-Profit. Partners with San Angelo Animal Services to facilitate adoptions and transfers.
TX098,Texas,TX,Abilene Animal Services,Municipal,,,,,,Abilene,,Municipal. City shelter for Abilene.
TX099,Texas,TX,All Kind Animal Initiative,Private Non-Profit,,,,,,Abilene,,Private Non-Profit. Works to improve animal welfare in Abilene through shelter support and programs.
TX100,Texas,TX,Rescue the Animals SPCA,Private Non-Profit,,,,,,Abilene,,Private Non-Profit. A major rescue in the Big Country region focusing on rehabilitation and adoption.
TX101,Texas,TX,Odessa Animal Control,Municipal,,,,,,Odessa,,Municipal. Serves Ector County area with animal control and sheltering.
TX102,Texas,TX,Humane Society of Odessa,Private Non-Profit,,,,,,Odessa,,Private Non-Profit. Private shelter and adoption center in Odessa.
TX103,Texas,TX,Waco Animal Shelter,Municipal,,,,,,Waco,,Municipal. Regional shelter serving the City of Waco and McLennan County.
TX104,Texas,TX,Humane Society of Central Texas,Private Non-Profit,,,,,,Waco,,Private Non-Profit. Adoption partner for the City of Waco shelter.
TX105,Texas,TX,Corpus Christi Animal Care Services,Municipal,,,,,,Corpus Christi,,Municipal. Major municipal hub for the Coastal Bend region.
TX106,Texas,TX,Gulf Coast Humane Society,Private Non-Profit,,,,,,Corpus Christi,,Private Non-Profit. Private shelter serving the Coastal Bend.
TX107,Texas,TX,Palm Valley Animal Society,Private Non-Profit,,,,,,Edinburg,,Private Non-Profit. Operates the municipal shelter for Edinburg/Hidalgo County. High intake facility near the border.
TX108,Texas,TX,Laredo Animal Protective Services,Non-Profit/Municipal,,,,,,Laredo,,Non-Profit/Municipal. Manages animal control facility for Laredo.
TX109,Texas,TX,Humane Society of Harlingen,Private Non-Profit,,,,,,Harlingen,,Private Non-Profit. Serves the Harlingen area in the Rio Grande Valley.
TX110,Texas,TX,Yaqui Animal Rescue,Private Rescue,,,,,,Sullivan City,,Private Rescue. Rescue ranch in the Rio Grande Valley focusing on stray and neglected animals.
TX111,Texas,TX,Humane Society of Wichita County,Private Non-Profit,,,,,,Wichita Falls,,Private Non-Profit. Private shelter serving North Texas/Red River area.
TX112,Texas,TX,P.E.T.S. Clinic,Non-Profit,,,,,,Wichita Falls,,Non-Profit. Focuses on low-cost spay/neuter and wellness to prevent overpopulation.
TX113,Texas,TX,Nacogdoches Animal Services,Municipal,,,,,,Nacogdoches,,Municipal. City shelter for Nacogdoches.
TX114,Texas,TX,Saint Francis Rescue,Private Rescue,contact@stfrancisrescuenac.com,,,,Nacogdoches,,Private Rescue. Local rescue partner.
TX115,Texas,TX,Humane Society of East Texas,Private Non-Profit,,,,,,Tyler,,Private Non-Profit. Regional shelter serving Tyler and Smith County.
TX116,Texas,TX,Longview Animal Care and Adoption Center,Municipal,,,,,,Longview,,Municipal. City facility serving Longview.
TX117,Texas,TX,Austin German Shepherd Rescue,Breed-Specific Rescue,,,,,,Austin,,Foster-based rescue rehabilitates GSDs in Central TX.
TX118,Texas,TX,Greater Houston German Shepherd Dog Rescue,Breed-Specific Rescue,,,,,,Houston,,Focused on GSDs in the southeast region.
TX119,Texas,TX,Good Shepherd Rescue of North Texas,Breed-Specific Rescue,,,,,,Dallas,,Specialized GSD rescue in DFW.
TX120,Texas,TX,German Shepherd Rescue of Central Texas,Breed-Specific Rescue,,,,,,Austin,,Rescues GSDs from high-kill shelters.
TX121,Texas,TX,North Texas German Shepherd Rescue,Breed-Specific Rescue,,,,,,Dallas,,GSD rescue in DFW area.
TX122,Texas,TX,Border Collie Rescue & Rehab,Breed-Specific Rescue,,,,,,Texas,,Specialized in behavioral needs of Border Collies.
TX123,Texas,TX,Ruff Mutt Border Collie Rescue,Breed-Specific Rescue,,,,,,Garland,,Foster-based Border Collie rescue in DFW.
TX124,Texas,TX,Houston Collie Rescue,Breed-Specific Rescue,,,,,,Houston,,Focuses on Collies and Border Collies.
TX125,Texas,TX,Border Collie Rescue Texas,Breed-Specific Rescue,,,,,,Texas,,Statewide Border Collie network.
TX126,Texas,TX,South Texas Aussie Rescue,Breed-Specific Rescue,,,,,,San Antonio,,Australian Shepherd rescue in Southern region.
TX127,Texas,TX,Mini Aussie Rescue & Support,Breed-Specific Rescue,,,,,,Texas,,Statewide. Focuses on Miniature Australian Shepherds.
TX128,Texas,TX,Second Time Around Aussie Rescue,Breed-Specific Rescue,,,,,,Fort Worth,,Specialized Aussie rescue.
TX129,Texas,TX,Texas Cattle Dog Rescue,Breed-Specific Rescue,,,,,,Texas,,Statewide. Focuses on Blue/Red Heelers (ACDs).
TX130,Texas,TX,Texas Great Pyrenees Rescue,Breed-Specific Rescue,,,,,,Texas,,Statewide. Critical for livestock guardian dogs.
TX131,Texas,TX,SPIN (Saving Pyrs in Need),Breed-Specific Rescue,,,,,,Dallas,,DFW based Great Pyrenees rescue.
TX132,Texas,TX,Great Pyrenees Rescue Society,Breed-Specific Rescue,,,,,,Houston,,Rescues and rehabs Great Pyrenees statewide.
TX133,Texas,TX,Lone Star Pyrs & Paws,Breed-Specific Rescue,,,,,,Texas,,Rescue focusing on Pyrenees mixes.
TX134,Texas,TX,Austin Boxer Rescue,Breed-Specific Rescue,,,,,,Austin,,Boxer rescue with Alamo Chapter in San Antonio.
TX135,Texas,TX,Legacy Boxer Rescue,Breed-Specific Rescue,,,,,,Dallas,,Specialized Boxer rescue in DFW.
TX136,Texas,TX,Lone Star Boxer Rescue,Breed-Specific Rescue,,,,,,Houston,,Boxer rescue in Houston.
TX137,Texas,TX,Houston Boxer Rescue,Breed-Specific Rescue,,,,,,Houston,,Dedicated to Boxers in the metro area.
TX138,Texas,TX,Rejection Collection Boxer Rescue,Breed-Specific Rescue,,,,,,Texas,,Rescue for hard-to-place Boxers.
TX139,Texas,TX,Doberman Rescue of North Texas,Breed-Specific Rescue,,,,,,Grand Prairie,,Specialized Doberman rescue in DFW.
TX140,Texas,TX,Lone Star Doberman Rescue,Breed-Specific Rescue,,,,,,Fort Worth,,Fort Worth based Doberman rescue.
TX141,Texas,TX,San Antonio Doberman Rescue,Breed-Specific Rescue,,,,,,San Antonio,,San Antonio area Doberman rescue.
TX142,Texas,TX,Southern States Rescued Rottweilers,Breed-Specific Rescue,,,,,,Texas,,Regional Rottweiler rescue covering Texas.
TX143,Texas,TX,Rotts Across Texas,Breed-Specific Rescue,,,,,,Texas,,Specialized Rottweiler rescue.
TX144,Texas,TX,Heart of Texas Lab Rescue,Breed-Specific Rescue,,,,,,Austin,,Labrador rescue in Austin/Central Texas.
TX145,Texas,TX,DFW Lab Rescue,Breed-Specific Rescue,,,,,,Dallas,,Labrador rescue in DFW area.
TX146,Texas,TX,Houston Labrador Retriever Rescue,Breed-Specific Rescue,,,,,,Houston,,Labrador rescue in Houston.
TX147,Texas,TX,Lone Star Lab Rescue,Breed-Specific Rescue,,,,,,Dallas,,DFW based Labrador rescue.
TX148,Texas,TX,Golden Beginnings Golden Retriever Rescue,Breed-Specific Rescue,,,,,,Houston,,Dedicated to Goldens in Houston.
TX149,Texas,TX,Golden Retriever Rescue of North Texas,Breed-Specific Rescue,,,,,,Dallas,,Golden rescue in DFW area.
TX150,Texas,TX,Gold Ribbon Rescue,Breed-Specific Rescue,,,,,,Austin,,Golden Retriever rescue in Austin/Central Texas.
TX151,Texas,TX,Retrieve a Golden of Texas,Breed-Specific Rescue,,,,,,Dallas,,Statewide/DFW Golden rescue.
TX152,Texas,TX,Houston Beagle and Hound Rescue,Breed-Specific Rescue,,,,,,Houston,,Rescues Beagles and Hounds.
TX153,Texas,TX,DFW Beagle Buddies,Breed-Specific Rescue,,,,,,Dallas,,Specialized Beagle rescue in DFW.
TX154,Texas,TX,Greyhound Adoption League of Texas (GALT),Breed-Specific Rescue,,,,,,Texas,,Statewide. Major group rehoming retired racers and strays.
TX155,Texas,TX,Austin Greyhound Adoption,Breed-Specific Rescue,,,,,,Austin,,Central Texas Greyhound chapter.
TX156,Texas,TX,Greyhounds Unlimited,Breed-Specific Rescue,,,,,,Tyler,,Greyhound rescue in East Texas.
TX157,Texas,TX,German Shorthaired Pointer Rescue of North Texas,Breed-Specific Rescue,,,,,,Dallas,,Specialized GSP rescue in DFW.
TX158,Texas,TX,Brittany Rescue in Texas (BRIT),Breed-Specific Rescue,,,,,,Fort Worth,,Fort Worth/Statewide Brittany Spaniel rescue.
TX159,Texas,TX,Weimaraner Rescue of Texas,Breed-Specific Rescue,,,,,,Dallas,,Statewide Weimaraner rescue.
TX160,Texas,TX,Texas Vizsla Rescue,Breed-Specific Rescue,,,,,,Texas,,Specialized in Vizslas.
TX161,Texas,TX,DFW Cocker Spaniel Rescue,Breed-Specific Rescue,,,,,,Dallas,,Cocker Spaniel rescue in DFW.
TX162,Texas,TX,Cocker Spaniel Rescue of East Texas,Breed-Specific Rescue,,,,,,Houston,,Cocker rescue in Houston/Sugar Land.
TX163,Texas,TX,Gulf Coast Cocker Spaniel Rescue,Breed-Specific Rescue,,,,,,Houston,,Cocker rescue in Houston area.
TX164,Texas,TX,Chihuahua Rescue & Transport,Breed-Specific Rescue,,,,,,Dallas,,DFW/Statewide national group with Texas presence.
TX165,Texas,TX,Texas Little Cuties Rescue,Breed-Specific Rescue,,,,,,Plano,,Focuses on small dogs.
TX166,Texas,TX,Central Texas Dachshund Rescue,Breed-Specific Rescue,,,,,,Austin,,Major rescue for wiener dogs in Austin/SA.
TX167,Texas,TX,Dachshund Lovers of Texas,Breed-Specific Rescue,,,,,,Texas,,Statewide Dachshund network.
TX168,Texas,TX,Diamond Dachshund Rescue of Texas,Breed-Specific Rescue,,,,,,San Antonio,,Dachshund rescue in San Antonio area.
TX169,Texas,TX,Dachshund Rescue of Houston,Breed-Specific Rescue,,,,,,Houston,,Dachshund rescue in Houston.
TX170,Texas,TX,PugHearts of Houston,Breed-Specific Rescue,,,,,,Houston,,Very large and active Pug rescue.
TX171,Texas,TX,DFW Pug Rescue,Breed-Specific Rescue,,,,,,Dallas,,Specialized Pug rescue in DFW.
TX172,Texas,TX,Austin Pug Rescue,Breed-Specific Rescue,,,,,,Austin,,Pug rescue in Austin.
TX173,Texas,TX,San Antonio Pug Rescue,Breed-Specific Rescue,,,,,,San Antonio,,Pug rescue in San Antonio.
TX174,Texas,TX,Miniature Schnauzer Rescue of Houston,Breed-Specific Rescue,,,,,,Houston,,Specialized in Mini Schnauzers.
TX175,Texas,TX,Miniature Schnauzer Rescue of North Texas,Breed-Specific Rescue,,,,,,Dallas,,Mini Schnauzer rescue in DFW.
TX176,Texas,TX,Schnauzer & Friends Rescue,Breed-Specific Rescue,,,,,,San Antonio,,Schnauzer rescue in San Antonio.
TX177,Texas,TX,Tzu Zoo Rescue,Breed-Specific Rescue,,,,,,Dallas,,Shih Tzu and Lhasa Apso rescue in DFW.
TX178,Texas,TX,Lone Star Shih Tzu & Lhasa Apso Rescue,Breed-Specific Rescue,,,,,,Houston,,Shih Tzu rescue in Houston.
TX179,Texas,TX,United Yorkie Rescue,Breed-Specific Rescue,,,,,,Texas,,Statewide Yorkie rescue.
TX180,Texas,TX,Yorkie Rescue Houston,Breed-Specific Rescue,,,,,,Houston,,Yorkie rescue in Houston.
TX181,Texas,TX,American Boston Terrier Rescue,Breed-Specific Rescue,,,,,,Gainesville,,Boston Terrier rescue in North Texas.
TX182,Texas,TX,Boston Terrier Rescue of North Texas,Breed-Specific Rescue,,,,,,Dallas,,Boston Terrier rescue in DFW.
TX183,Texas,TX,Lone Star Bulldog Club Rescue,Breed-Specific Rescue,,,,,,Dallas,,English and French Bulldogs in DFW.
TX184,Texas,TX,San Antonio Bulldog Rescue,Breed-Specific Rescue,,,,,,San Antonio,,Specialized in Bulldogs.
TX185,Texas,TX,Austin Bully Butt Rescue,Breed-Specific Rescue,,,,,,Austin,,Bulldog rescue in Austin.
TX186,Texas,TX,Love-A-Bull,Breed-Specific Rescue,,,,,,Austin,,Advocacy and rescue for Pit Bulls.
