Name,Location,Contact Information,Description
Haile’s Angels Pet Rescue,"Gainesville, FL",(352) 505-0302,"Haile’s Angels Pet Rescue in Gainesville, FL is a rescue organization for cats and dogs, working to find loving homes for pets in Alachua County."
Pet Rescue North, Inc.,"Jacksonville, FL",(904) 477-1000,"Pet Rescue North, Inc. in Jacksonville, FL is a no-kill rescue for cats and dogs that provides a safe haven and adoption opportunities."
Ayla’s Acres No-Kill Animal Rescue,"St. Augustine, FL",(650) 520-5201,"Ayla’s Acres No-Kill Animal Rescue in St. Augustine, FL is a rescue organization for cats and dogs that maintains a no-kill philosophy (includes a sanctuary for senior pets)."
Wags & Whiskers Pet Rescue,"St. Augustine, FL","Cats: (904) 377-1133; Dogs: (904) 806-1414","Wags & Whiskers Pet Rescue in St. Augustine, FL is a volunteer rescue organization for cats and dogs, with separate foster programs for each."
Safe Animal Shelter,"Middleburg, FL",(904) 375-9122,"Safe Animal Shelter in Middleburg, FL is Clay County’s no-kill shelter for cats and dogs, aiming to find every pet a safe, loving home."
Animal Rescue Movement (A.R.M.),"Doctor’s Inlet, FL",(904) 282-8581,"Animal Rescue Movement (A.R.M.) in Doctor’s Inlet, FL is a rescue organization for cats and dogs."
Miami Animal Rescue,"Miami, FL",(305) 877-2880,"Miami Animal Rescue in Miami, FL is a rescue organization for cats, dogs, and small pets, working to rehome animals in need."
Humane Society of Greater Miami,"North Miami Beach, FL",(305) 749-1830,"Humane Society of Greater Miami in North Miami Beach, FL is a limited-admission, adoption-guarantee shelter that places dogs and cats into loving homes and offers affordable spay/neuter services:contentReference[oaicite:5]{index=5}."
PAWS4you Rescue,"Miami, FL",(786) 242-7377,"PAWS4you Rescue in Miami, FL is a volunteer-run, no-kill rescue organization for cats and dogs, rescuing pets at risk and placing them in foster or adoptive homes."
Hurricane Pet Rescue,"Miami Beach, FL",(786) 999-8239,"Hurricane Pet Rescue in Miami Beach, FL is a rescue organization for cats and dogs (often focusing on urgent pet rescues during crises)."
Partners for Pets,"Marianna, FL",(850) 482-4570,"Partners for Pets in Marianna, FL is a no-kill shelter and rescue organization for cats and dogs, serving Jackson County."
Pets in Distress of South Florida,"Davie, FL","PIDinc@aol.com","Pets in Distress of South Florida in Davie, FL is a rescue organization for cats and dogs (focused on Broward County pets in need)."
Jamie’s Rescue,"Miami, FL",(305) 409-8442,"Jamie’s Rescue in Miami, FL is a dog rescue organization (a small volunteer rescue focusing on homeless puppies and dogs in the Miami area)."
Delilah’s Second Chance,"Miami, FL",(630) 294-8484,"Delilah’s Second Chance in Miami, FL is a dog rescue organization (finding homes for dogs, including those rescued from high-kill shelters)."
ResQMe, A Homeless Dog Mission,"Miami, FL",(305) 970-5970,"ResQMe: A Homeless Dog Mission in Miami, FL is a dog rescue organization that saves dogs in need and helps them find homes."
Born Free Animal Shelter,"Miami, FL",(786) 205-6865,"Born Free Animal Shelter in Miami, FL is a dog rescue organization (operates a no-kill shelter for homeless and abandoned dogs)."
The Cat Network,"Miami, FL",(305) 255-3482,"The Cat Network in Miami, FL is a rescue organization for cats, promoting spay/neuter and facilitating cat adoptions through a network of foster homes."
Humane Society Naples,"Naples, FL",(239) 643-1555,"Humane Society Naples in Naples, FL is Collier County’s leading no-kill shelter, which shelters and adopts out pets and promotes responsible pet ownership:contentReference[oaicite:6]{index=6}."
Brooke’s Legacy Animal Rescue,"Naples, FL","info@brookeslegacyanimalrescue.org","Brooke’s Legacy Animal Rescue in Naples, FL is a rescue organization for cats and dogs (a foster-based rescue saving pets from euthanasia)."
Animal Compassion Project,"Naples, FL",(239) 825-4093,"Animal Compassion Project in Naples, FL is a rescue organization for cats (focused on TNR—trap/neuter/return—and finding homes for community cats)."
Volunteer Services for Animals,"Naples, FL",(239) 290-6274,"Volunteer Services for Animals in Naples, FL is a rescue organization for cats (supports spay/neuter and adoption efforts in Collier County)."
Naples Cat Alliance,"Naples, FL",(424) 835-1523,"Naples Cat Alliance in Naples, FL is a volunteer-run, no-kill cat rescue organization operating a free-roaming cat shelter and adoption center."
For the Love Of Cats,"Marco Island, FL",(239) 642-8674,"For the Love Of Cats in Marco Island, FL is a nonprofit rescue organization for cats, working to save and sterilize stray cats in the community."
Bishop Animal Shelter (Humane Society of Manatee County),"Bradenton, FL",(941) 792-2863,"Bishop Animal Shelter in Bradenton, FL is a humane society shelter for cats and dogs in Manatee County (now part of the Humane Society of Manatee)."
Friends of Strays,"St. Petersburg, FL",(727) 522-6566,"Friends of Strays in St. Petersburg, FL is the city’s oldest no-kill shelter, dedicated to the care and adoption of homeless pets:contentReference[oaicite:7]{index=7}."
Hillsborough County Pet Resource Center,"Tampa, FL",(813) 744-5660,"Hillsborough County Pet Resource Center in Tampa, FL is the county-operated open-admission shelter for cats and dogs (it works with many rescue partners to save lives)."
St. Francis Society Animal Rescue,"Tampa, FL",(813) 744-5660,"St. Francis Society Animal Rescue in Tampa, FL is a foster-based rescue for cats and dogs, known for its network of volunteers helping stray and abandoned pets."
Lost Angels Animal Rescue,"Tampa, FL",(813) 514-0595,"Lost Angels Animal Rescue in Tampa, FL is a volunteer-run rescue organization for cats and dogs (specializing in rescuing at-risk pets, particularly dogs, from shelters)."
Rebels Rescue,"Tampa, FL","savealife@rebelsrescue.com","Rebels Rescue in Tampa, FL is a volunteer-run rescue organization for cats and dogs (active in the Tampa Bay area, saving pets from euthanasia)."
Critter Adoption and Rescue Effort (C.A.R.E.),"Ruskin, FL",(813) 645-2273,"Critter Adoption and Rescue Effort (C.A.R.E.) in Ruskin, FL is a no-kill animal shelter for cats and dogs serving southern Hillsborough County."
Moonracer No Kill Animal Rescue,"Bradenton, FL","(941) ***-****","Moonracer No Kill Animal Rescue in Bradenton, FL is a rescue organization for cats and dogs (focused on at-risk pets; phone not published)."
Maxx & Me Pet Rescue,"Tampa, FL","maxxandmerescue@gmail.com","Maxx & Me Pet Rescue in Tampa, FL is a foster-based dog rescue organization that finds homes for at-risk dogs."
Furever Paws Animal Rescue,"Zephyrhills, FL",(813) 364-2452,"Furever Paws Animal Rescue in Zephyrhills, FL is a dog rescue organization, saving dogs and placing them with loving families."
Heidi’s Legacy Dog Rescue,"Tampa, FL","kelly.v@heidislegacydogrescue.com","Heidi’s Legacy Dog Rescue in Tampa, FL is a volunteer-run dog rescue organization specializing in rescuing and rehoming large-breed and senior dogs."
On the Wings of Angels Rescue,"Tampa, FL",(813) 920-2627,"On the Wings of Angels in Tampa, FL is a dog rescue organization (rescuing and rehabilitating dogs, including those with medical needs)."
Cat Lover’s Inc.,"Tampa, FL",(813) 259-9248,"Cat Lover’s Inc. in Tampa, FL is a rescue organization for cats, serving the Tampa Bay area by rehoming stray and abandoned cats."
Paw Warriors,"Spring Hill, FL",(352) 403-9633,"Paw Warriors in Spring Hill, FL is a rescue organization for cats, focused on saving feral and abandoned cats (with a sanctuary for special needs felines)."
Tampa Cat Crusaders,"Tampa, FL",(941) 444-1228,"Tampa Cat Crusaders in Tampa, FL is a rescue organization for cats, active in the Tampa Bay area with a network of foster homes."
Island Dog Rescue,"Groveland, FL","(412) 913-8690 or (609) 214-2186","Island Dog Rescue in Groveland, FL is a rescue organization for various pets (cats, dogs, and others), originally focused on rescuing animals from the Virgin Islands."
The Animal League,"Groveland, FL",(352) 429-6334,"The Animal League in Groveland, FL (also known as South Lake Animal League) is a non-profit, no-kill shelter for cats and dogs, serving Central Florida."
Leesburg Humane Society,"Leesburg, FL",(352) 669-3312,"Leesburg Humane Society in Leesburg, FL is a no-kill animal shelter for cats and dogs (operating as a sanctuary for hard-to-place pets)."
Heavenly Acres Pet Rescue,"Leesburg, FL","heavenlyacrespetrescue@yahoo.com","Heavenly Acres Pet Rescue in Leesburg, FL is a dog rescue organization (a small, foster-based rescue for dogs)."
RUFF Rescue of Central Florida,"Minneola, FL",(352) 874-8935,"RUFF Rescue of Central Florida in Minneola, FL is a dog rescue organization, saving dogs from high-kill shelters and finding them new homes."
Max’s Pet Connection,"Umatilla, FL","(352) 669-2855 or (352) 347-7992","Max’s Pet Connection in Umatilla, FL is a small dog rescue organization that rehabilitates and rehomes small breed dogs."
Peggy Adams Animal Rescue League,"West Palm Beach, FL",(561) 686-3663,"Peggy Adams Animal Rescue League in West Palm Beach, FL is an independent nonprofit shelter that provides care and shelter to lost, homeless and unwanted animals, plus affordable spay/neuter and veterinary services:contentReference[oaicite:8]{index=8}:contentReference[oaicite:9]{index=9}."
A Second Chance Puppies & Kittens Rescue,"Royal Palm Beach, FL",(561) 333-1100,"A Second Chance Puppies & Kittens Rescue in Royal Palm Beach, FL is a volunteer-run rescue organization saving puppies and kittens (and other pets) and placing them in loving homes."
Tri-County Animal Rescue,"Boca Raton, FL",(561) 482-8110,"Tri-County Animal Rescue in Boca Raton, FL is a no-kill pet rescue organization committed to saving animals in South Florida and beyond. It is always at capacity with cats and dogs waiting for adopters:contentReference[oaicite:10]{index=10}."
Animal Rescue Force (A.R.F.),"West Palm Beach, FL",(561) 586-2126,"Animal Rescue Force (ARF) in West Palm Beach, FL is a rescue organization for cats and dogs, dedicated to finding homes for pets through adoption events and a thrift-store-funded shelter."
Justin Bartlett Animal Rescue,"Royal Palm Beach, FL",(561) 795-9999,"Justin Bartlett Animal Rescue in Royal Palm Beach, FL is a large volunteer-run rescue for cats and dogs, operating through a network of foster homes and an adoption center."
Save A Pet Florida,"Palm Beach, FL",(561) 835-9525,"Save A Pet Florida in Palm Beach, FL is a long-established no-kill rescue organization for cats and dogs (focused on rehoming pets in Palm Beach County)."
Barky Pines Animal Rescue & Sanctuary,"Loxahatchee, FL",(561) 402-1451,"Barky Pines Animal Rescue & Sanctuary in Loxahatchee, FL is a non-profit, no-kill rescue for cats and dogs, which also operates as a sanctuary for special needs farm animals."
Big Dog Ranch Rescue,"Loxahatchee, FL",(561) 791-6465,"Big Dog Ranch Rescue in Loxahatchee, FL is one of the nation’s largest no-kill dog rescue organizations, aiming to save dogs through compassionate, innovative rescue practices and educational programs:contentReference[oaicite:11]{index=11}."
Paws South Florida Rescue,"Palm Beach, FL",(954) 609-3284,"Paws South Florida Rescue in Palm Beach, FL is a rescue organization focusing on cats (dedicated to rescuing and rehoming at-risk cats)."
Adopt A Cat Foundation,"West Palm Beach, FL",(561) 848-4911,"Adopt A Cat Foundation in West Palm Beach, FL is a no-kill cat rescue organization that operates a shelter for homeless cats and facilitates adoptions."
Sunny Side Rescue,"Port St. Lucie, FL",(772) 828-1234,"Sunny Side Rescue in Port St. Lucie, FL is a rescue organization for cats, dogs, and even horses (rehabilitating and rehoming a variety of animals)."
RUFF Pet Rescue,"Indiantown, FL",(954) 993-7860,"RUFF Pet Rescue in Indiantown, FL is a rescue organization for cats and dogs, serving Martin County by rescuing pets and placing them in foster care until adoption."
Dogs & Cats Forever,"Fort Pierce, FL",(772) 489-5454,"Dogs & Cats Forever in Fort Pierce, FL is a no-kill shelter for cats and dogs, aiming to find forever homes for all pets in its care."
Nala’s New Life Rescue,"Palm City, FL",(772) 485-3799,"Nala’s New Life Rescue in Palm City, FL is a dog rescue organization that saves dogs (often from high-kill shelters) and provides them a new chance at life."
Rescue Adoption, Inc.,"Fort Pierce, FL",(833) 569-2838,"Rescue Adoption, Inc. in Fort Pierce, FL is a dog rescue organization (a no-kill shelter for dogs) that rescues, rehabilitates, and rehomes abandoned pets."
Alaqua Animal Refuge,"Freeport, FL",(850) 880-6399,"Alaqua Animal Refuge in Freeport, FL is a large no-kill refuge that rescues and rehabilitates cats, dogs, farm animals, and other animals in the Florida Panhandle."
Humane Society of Bay County,"Panama City, FL",(850) 215-7120,"Humane Society of Bay County in Panama City, FL is a nonprofit shelter and adoption center for cats and dogs, serving Bay County."
Companion Animal Rescue Endeavor (C.A.R.E.),"Tallahassee, FL",(850) 385-8181,"Companion Animal Rescue Endeavor (CARE) in Tallahassee, FL is a rescue organization that specializes in saving and treating sick/injured homeless pets, giving them a second chance."
Animal Allies Florida,"Pensacola, FL",(850) 780-3223,"Animal Allies Florida in Pensacola, FL is a volunteer-run rescue group for cats and dogs, arranging foster homes and adoptions for pets in need."
Big Dog Rescue (Tallahassee),"Tallahassee, FL",(850) 562-3200,"Big Dog Rescue in Tallahassee, FL is a dog rescue organization (a no-kill rescue focusing on saving large-breed dogs in the Panhandle)."
Phoenix Rising Rescue,"Pensacola, FL",(850) 516-1089,"Phoenix Rising Rescue in Pensacola, FL is a dog rescue organization (specializing in rescuing and rehoming dogs, particularly dogs in urgent situations)."
Extended Circle Animal Haven,"Tallahassee, FL",(850) 668-1004,"Extended Circle Animal Haven in Tallahassee, FL is a cat rescue organization (providing a safe haven for cats, including seniors and special needs cats)."
Preen Acres Cat Sanctuary,"Live Oak, FL",(386) 658-6438,"Preen Acres Cat Sanctuary in Live Oak, FL is a rescue organization for cats (a sanctuary for unadoptable and senior cats to live out their lives)."
Save Our Cats and Kittens (SOCKS),"Fort Walton Beach, FL",(850) 863-5756,"Save Our Cats and Kittens (SOCKS) in Fort Walton Beach, FL is a no-kill cat shelter and adoption organization serving the Okaloosa County area."
Gainesville Rabbit Rescue,"Gainesville, FL",(352) 318-0028,"Gainesville Rabbit Rescue in Gainesville, FL is a rescue organization specializing in rabbits (saving abandoned rabbits and finding them homes)."
Live Freely Sanctuary,"Sebastian, FL","livefreelysanctuary@gmail.com","Live Freely Sanctuary in Sebastian, FL is a rescue organization that takes in a variety of animals (most domestic species) and provides a safe haven."
Space Coast Bunnies,"Brevard County, FL","spacecoastbunnies@gmail.com","Space Coast Bunnies in Brevard County, FL is a rescue organization specializing in rabbits (helping find homes for unwanted bunnies)."
Fort Wilbur Rabbit Rescue,"Port Orange, FL",(407) 402-5319,"Fort Wilbur Rabbit Rescue in Port Orange, FL is a rescue organization specializing in rabbits."
Floppy Ear Rescue,"Port St. Lucie, FL","floppyearrescue@gmail.com","Floppy Ear Rescue in Port St. Lucie, FL is a rescue organization specializing in rabbits."
H.A.R.E. (Houston’s Alternative Rabbit Experience),"Miami, FL",(305) 666-2866,"H.A.R.E. in Miami, FL is a rescue organization specializing in rabbits (the House Rabbit Society chapter in South Florida)."
Southwest Florida House Rabbit Rescue,"Southwest Florida, FL",(410) 382-2433,"Southwest Florida House Rabbit Rescue (based in Naples, FL) is a foster-based rescue specializing in rabbits, serving the SW Florida region."
Suncoast House Rabbit Rescue,"Tampa Bay, FL",(727) 667-2132,"Suncoast House Rabbit Rescue in the Tampa Bay area, FL is a rescue organization specializing in rabbits (rehabilitating and rehoming domestic rabbits)."
Shawsheen River Gerbil Rescue,"Lake County, FL",(352) 404-7828,"Shawsheen River Gerbil Rescue in Lake County, FL is a rescue organization specializing in gerbils and other small rodents."
Crazy Cavies Guinea Pig Rescue,"Lauderhill, FL",(954) 547-3201,"Crazy Cavies Guinea Pig Rescue in Lauderhill, FL is a rescue organization specializing in guinea pigs, which rescues and rehomes guinea pigs in South Florida."
Broward Ferret Rescue,"Broward County, FL","fuzzyrescues@aol.com or (954) 444-5370","Broward Ferret Rescue in Broward County, FL is a rescue organization specializing in ferrets (educating the public and finding homes for surrendered ferrets)."
Palm Beach Parrot & Bird Rescue,"Palm Beach County, FL",(561) 777-5154,"Palm Beach Parrot & Bird Rescue in Palm Beach County, FL is a rescue organization specializing in pet birds, rescuing parrots and other companion birds and adopting them out to qualified homes."
Miami-Dade Animal Services,"Doral, FL",(305) 884-1101,"Miami-Dade Animal Services in Doral, FL is the county’s open-admission public animal shelter, which takes in thousands of pets each year and strives to adopt out as many as possible:contentReference[oaicite:12]{index=12}."
Broward County Animal Care & Adoption,"Fort Lauderdale, FL",(954) 359-1313,"Broward County Animal Care & Adoption in Fort Lauderdale, FL is the county’s official animal care shelter, dedicated to protecting animals and rehoming pets from its adoption center:contentReference[oaicite:13]{index=13}."
Palm Beach County Animal Care & Control,"West Palm Beach, FL",(561) 233-1200,"Palm Beach County Animal Care & Control in West Palm Beach, FL is the county’s only open-admission shelter, caring for the community’s lost or homeless pets and striving to find them new homes:contentReference[oaicite:14]{index=14}."
Orange County Animal Services,"Orlando, FL",(407) 836-3111,"Orange County Animal Services in Orlando, FL is the county’s open-admission pet shelter and adoption center, focused on animal welfare and serving all of Orange County’s homeless pets:contentReference[oaicite:15]{index=15}."
Pinellas County Animal Services,"Largo, FL",(727) 582-2600,"Pinellas County Animal Services in Largo, FL is the county’s primary open-admission shelter, which safeguards public health and works to find homes for the county’s stray and surrendered cats and dogs:contentReference[oaicite:16]{index=16}."
Jacksonville Humane Society,"Jacksonville, FL",(904) 725-8766,"Jacksonville Humane Society in Jacksonville, FL is the city’s largest pet adoption facility, providing care and shelter for animals in need and partnering with the city shelter to keep Jacksonville a no-kill community:contentReference[oaicite:17]{index=17}."
Golden PAWS Assistance Dogs,"Naples, FL",(239) ***-****,"Golden PAWS Assistance Dogs in Naples, FL provides highly trained assistance dogs at no cost to veterans, first responders, and children with disabilities:contentReference[oaicite:18]{index=18}."
