Comprehensive New Jersey Animal Adoption Directory
Organization Name	Type	County / Area	Contact Info	Description
BARKS (Byram Animal Rescue Kindness Squad)	Rescue	Sussex (Stanhope)	barksinc.com	Volunteer rescue caring for orphaned and abandoned pets in Sussex County.
Beacon Animal Rescue	Rescue	Cape May (Ocean View)	(609) 390-7946	Volunteer-run, no-kill rescue serving Cape May and Atlantic counties.
Bergen County Animal Shelter	Municipal	Bergen (Teterboro)	(201) 229-4600	Large county facility managing animal control and adoptions for Bergen residents.
Bergen County Protect & Rescue	Rescue	Bergen (Cliffside Park)	bcrescues.org	No-kill volunteer shelter serving Cliffside Park and surrounding communities.
Best Friends of Burlington County	Rescue	Burlington	bestfriends.org	Local network partner of the national organization, focusing on foster-based rescue.
Bloomfield Animal Shelter	Municipal	Essex (Bloomfield)	(973) 748-0194	No-kill municipal shelter managed by the township; has a strong volunteer base.
Bloomingdale Animal Shelter Society (BASS)	Rescue	Passaic (Bloomingdale)	bassshelterpets.org	Volunteer organization that manages the Bloomingdale municipal shelter.
Bordentown City Cats	Rescue	Burlington (Bordentown)	bordentowncitycats.blogspot.com	Local group dedicated to TNR (Trap-Neuter-Return) and adoption of friendly strays.
Brendan’s Meadows Rescue	Rescue	Union (Mountainside)	brendansmeadows.com	Foster-based rescue dedicated to saving dogs and puppies from high-kill shelters.
Bulldog Rescue of NJ	Rescue (Breed)	Statewide	bulldogrescue.org	Part of the Long Island Bulldog Rescue network covering NJ; specializes in English Bulldogs.
Burlington County Animal Alliance	Rescue	Burlington	bcaaofnj.org	Private rescue working to reduce euthanasia in county shelters via foster networks.
Burlington County Animal Shelter	Municipal	Burlington (Westampton)	(609) 265-5501	County facility for strays and surrenders; central adoption hub for Burlington towns.
Calling All Cats	Rescue	Ocean (Toms River)	(732) 703-6056	Cat-specific rescue with a resale shop to fund medical care and adoptions.
Cape May County Animal Shelter	Municipal	Cape May (Cape May CH)	(609) 465-8923	Open admission county shelter handling animal control and adoptions.
Caring About The Strays (C.A.T.S.)	Rescue	Bergen (Westwood)	care4strays.org	Rescue focused on stray cats, kitten socialization, and finding permanent homes.
Castle of Dreams Animal Rescue	Rescue	Monmouth (Aberdeen)	castle-of-dreams.com	All-breed canine rescue pulling dogs from high-kill shelters; exclusively foster-based.
Cats Call	Rescue	Bergen (Fort Lee)	(201) 478-1899	Small volunteer group helping stray and abandoned cats in the Fort Lee area.
Cattitude, Inc.	Rescue	Middlesex (Highland Park)	cattitudeinc.org	Cat rescue focusing on TNR and adoption of friendly cats in Central NJ.
Chance at Life Cat Rescue	Rescue	Bergen (River Edge)	chanceatlifecatrescue.com	Rescue dedicated to saving cats and kittens from the streets and shelters.
Clifton Animal Shelter	Municipal	Passaic (Clifton)	(973) 470-5936	Municipal shelter supported by the "Friends of the Shelter" volunteer group.
Closter Animal Welfare Society (CLAWS)	Rescue	Bergen (Closter)	(201) 768-0200	Volunteer group fostering and finding homes for unwanted pets in the Northern Valley.
Coming Home Rescue	Rescue	Morris (Rockaway)	cominghomerescue.org	Volunteer dog rescue finding homes for surrenders and shelter dogs.
Common Sense for Animals	Shelter	Warren (Stewartsville)	(908) 859-3060	Shelter and sanctuary promoting humane education and pet adoption.
Communities Altering The Strays (CATS)	Rescue	Warren (Belvidere)	(908) 453-0600	Focuses on the stray cat population in Warren County through TNR and adoption.
Companion Animal Advocates	Rescue	Bergen (Hillsdale)	(201) 797-2600	Works to prevent animal cruelty and finds homes for animals in need.
Cumberland County SPCA	Shelter	Cumberland (Vineland)	(856) 691-1500	Also known as South Jersey Regional Animal Shelter; serves Cumberland County.
Dachshund Rescue of Bucks County & NJ	Rescue (Breed)	Morris (Morrisville/NJ)	doxierescue.com	Specializes in rescuing, rehabilitating, and rehoming Dachshunds.
EASEL Animal Rescue League	Shelter	Mercer (Ewing)	(609) 883-0540	Manages the Ewing Animal Shelter; no-kill philosophy with robust foster program.
East Orange Animal Pound	Municipal	Essex (East Orange)	(973) 266-5224	City-run holding facility for stray animals found in East Orange.
Edison Municipal Animal Shelter	Municipal	Middlesex (Edison)	(732) 248-7278	Serves Edison and nearby towns for animal control and pet adoptions.
Eleventh Hour Rescue	Rescue	Morris (Randolph)	ehrdogs.org	Saves dogs and cats from death row in high-kill shelters; operates a kennel and foster network.
Elizabeth Animal Shelter	Municipal	Union (Elizabeth)	(908) 820-4242	City shelter handling strays and adoptions for Elizabeth residents.
Father John’s Animal House	Shelter	Sussex (Lafayette)	(973) 300-5909	Private non-profit shelter dedicated to homeless pets in Sussex County.
Felines For Adoption Cat Rescue	Rescue	Bergen (Mahwah)	(201) 240-9359	Small rescue group dedicated to finding homes for cats and kittens.
FOWA Rescue (Friends of Wayne Animals)	Rescue	Passaic (Wayne)	fowarescue.org	All-volunteer rescue dedicated to the welfare of stray and feral animals in Wayne.
Friends of Linden Animal Shelter	Rescue	Union (Linden)	(732) 388-6300	Volunteer group running the Linden city shelter as a no-kill facility.
Furrever Friends Rescue	Rescue	Gloucester (Woodbury)	furreverfriends.org	Volunteer group assisting the Gloucester County area with cat rescue and TNR.
German Shorthaired Pointer Rescue of NJ	Rescue (Breed)	Statewide	gsprescuenj.com	Breed-specific rescue finding homes for GSPs across the state.
Gloucester County Animal Shelter	Municipal	Gloucester (Clayton)	(856) 881-2828	County facility providing animal control and adoption services.
Halfway Hounds	Rescue	Bergen (Park Ridge)	halfwayhounds.org	Gives dogs a "halfway house" (foster/training) before permanent adoption.
Happy Tails Animal Rescue	Rescue	Bergen (Paramus)	(201) 723-8842	Rescue group specializing in cats and kittens, often seen at local adoption centers.
Helping Animals Rescue Team (HART)	Rescue	Sussex/Hunterdon	hartrescue.org	Small rescue group helping animals in rural NJ counties.
Home for Good Dog Rescue	Rescue	Union (Berkeley Heights)	(908) 598-8212	Foster-based; rescues dogs from the South and transports them to NJ for adoption.
Homeward Bound Pet Adoption Center	Shelter	Camden (Blackwood)	(856) 401-1300	Formerly Camden County Animal Shelter; high-volume adoption and clinic facility.
Hudson County Animal League	Rescue	Hudson (Bayonne)	hcalnj.org	Promotes animal welfare in Hudson County through rescue and advocacy.
Hudson Valley Ferret Rescue of NJ	Rescue (Small)	Bergen (North Arlington)	(201) 991-1349	Specialized rescue for ferrets; provides medical care and adoption.
Humane Society of Atlantic County	Shelter	Atlantic (Atlantic City)	(609) 347-2487	Private shelter and low-cost vet clinic serving the Atlantic City region.
Humane Society of Bergen County	Shelter	Bergen (Lyndhurst)	(201) 896-9300	Independent shelter offering adoption and low-cost veterinary services.
Humane Society of Ocean City	Shelter	Cape May (Ocean City)	(609) 398-9500	No-kill shelter providing animal control and care for Ocean City.
Husky House	Rescue (Breed)	Monmouth (Matawan)	huskyhouse.org	Dedicated to Siberian Huskies and other breeds; known for snow dog rescue.
Jersey Pits Rescue	Rescue (Breed)	Statewide	jerseypitsrescue.com	Advocate and rescue for Pit Bulls and bully breeds.
Jersey Shore Animal Center	Shelter	Ocean (Brick)	(732) 920-1600	Non-profit shelter rescuing and rehoming pets in Ocean County.
JerseyCats	Rescue	Hudson (Jersey City)	jerseycats.org	Foster-based organization dedicated to improving the lives of homeless cats.
Karma Cat + Zen Dog Rescue Society	Rescue	Middlesex (Milltown)	karmacatzendog.org	Rescue with a facility in North Brunswick; focuses on "peaceful" rehoming.
Kinnelon Volunteer Animal Shelter	Shelter	Morris (Kinnelon)	kvasnj.org	Shelter located in the municipal building, run entirely by volunteers.
Liberty Humane Society	Shelter	Hudson (Jersey City)	(201) 547-4147	Major urban shelter serving Jersey City and Hoboken.
Lonely Grey Rescue	Rescue (Birds)	Middlesex (Woodbridge)	lonelygreyrescue.org	Dedicated to the rescue and rehabilitation of African Grey parrots and other birds.
Lost Paws Animal Rescue	Rescue	Somerset/Hunterdon	lostpawsanimalrescue.org	Non-profit finding homes for stray and abandoned animals in Central NJ.
Marty’s Place Senior Dog Sanctuary	Rescue/Sanctuary	Monmouth (Upper Freehold)	martysplace.org	Sanctuary specifically for senior dogs (7+ years); offers adoption and long-term care.
MatchDog Rescue	Rescue	Burlington (Marlton)	matchdogrescue.org	High-volume transport rescue bringing dogs from high-kill areas to NJ fosters.
Meow Inc.	Rescue	Monmouth (Eatontown)	meowinc.org	Cat rescue organization focusing on the welfare of felines in Monmouth.
Mercy Puppy Rescue	Rescue	Bergen (Fort Lee)	(201) 774-1020	Rescue dedicated to saving puppies and young dogs.
Mid-Atlantic Great Dane Rescue	Rescue (Breed)	Statewide	magdrl.org	NJ chapter of the larger organization; rescues Great Danes.
Monmouth County SPCA	Shelter	Monmouth (Eatontown)	(732) 542-0040	Large open-admission shelter with police powers to enforce cruelty laws.
Montclair Township Animal Shelter	Municipal	Essex (Montclair)	(973) 744-8600	Municipal shelter with a reputation for high care standards and volunteer involvement.
Mt. Pleasant Animal Shelter	Shelter	Morris (East Hanover)	(973) 386-0590	Private shelter focusing on rescuing animals from overcrowding.
National Foundation for Animal Rescue	Rescue	Bergen (Saddle River)	nffar.org	Rescues cats and dogs, often focusing on those at risk of euthanasia.
Netcong TNR Project	Rescue	Morris (Netcong)	netcongtnr.com	Community cat group that also facilitates adoptions for friendly strays.
New Beginnings Animal Rescue	Rescue	Middlesex (East Brunswick)	newbeginningsanimalrescuenj.org	Volunteer group operating a small shelter and foster network.
New Jersey Humane Society	Rescue	Hudson (West New York)	(201) 758-7788	Provides animal control and rescue services for West New York and nearby.
Northern Ocean County Animal Facility	Municipal	Ocean (Jackson)	(732) 657-8086	County shelter branch serving northern Ocean County towns.
Old Bridge Animal Shelter	Municipal	Middlesex (Old Bridge)	(732) 721-5600	Municipal shelter handling local animal control and adoptions.
One Step Closer Animal Rescue (OSCAR)	Rescue	Sussex (Sparta)	(973) 810-2853	Rescue saving animals from high-kill shelters; known for active adoption events.
Parsippany Animal Control & Shelter	Municipal	Morris (Parsippany)	(973) 263-7083	Town-run facility for stray animals in Parsippany-Troy Hills.
Passaic Animal Shelter	Municipal	Passaic (Passaic)	(973) 365-5595	City shelter for strays in Passaic.
Paterson Animal Control	Municipal	Passaic (Paterson)	(973) 881-3640	Municipal agency handling large volume of strays in Paterson.
Paws on the Green	Rescue	Bergen (Edgewater)	(201) 815-0642	Small rescue group participating in local adoption days.
Pawsitively Furever Dog Rescue	Rescue	Bergen (Saddle Brook)	(201) 410-8566	Rescue dedicated to saving dogs from high-kill shelters nationwide.
People for Animals	Shelter/Clinic	Union (Hillside)	(973) 282-0890	Focuses on low-cost spay/neuter and wellness; also does adoptions.
Perth Amboy Animal Shelter	Municipal	Middlesex (Perth Amboy)	(732) 324-3877	Municipal facility for the City of Perth Amboy.
Pet Paws 4 Love	Rescue	Bergen (Garfield)	(973) 478-4584	Local rescue finding homes for abandoned pets.
Pet ResQ Inc.	Rescue	Bergen (Tenafly)	(201) 281-0135	Rescue focused on special needs and "underdog" animals.
Pitties & Pals	Rescue (Breed)	Ocean (Jackson)	pittiesandpals.com	Bully breed focused rescue; education and advocacy oriented.
Plainfield Area Humane Society	Shelter	Union (Plainfield)	(908) 754-0300	Serves Plainfield and surrounding areas with sheltering and adoption.
Purrfect Angels Cat Rescue	Rescue	Gloucester (Turnersville)	purrfectangels.org	Volunteer group rescuing cats and kittens in South Jersey.
Purrfect Cat Catchers	Rescue	Gloucester (Marlton)	(856) 816-3652	TNR group that also adopts out friendly kittens and cats.
Ramapo-Bergen Animal Refuge (RBARI)	Rescue	Bergen (Oakland)	(201) 337-5180	Leading no-kill shelter in Bergen County.
Randolph Regional Animal Shelter	Municipal	Morris (Mendham)	(973) 543-9333	Regional municipal shelter serving multiple towns in Morris County.
Real Dog Rescue	Rescue	Bergen (Oakland)	realdogrescue.org	"Real dogs, real people, real rescue" - foster based dog rescue.
Rescue Haven Foundation	Rescue	Union (Caldwell)	rescuehaven.org	Foster-based rescue finding homes for dogs of all breeds.
Rescue Ridge	Rescue	Monmouth (Spring Lake)	(732) 681-3450	"Last chance" rescue for animals facing euthanasia.
Salem County Humane Society	Shelter	Salem (Penns Grove)	(856) 299-1800	No-kill shelter serving the rural Salem County area.
Sammy’s Hope	Rescue	Middlesex (Sayreville)	sammyshope.org	Partners with Sayreville shelter to increase adoptions and care.
SAVE, A Friend to Homeless Animals	Shelter	Mercer (Skillman)	(609) 309-5214	Private shelter serving the Princeton area since 1941.
Save The Animals Rescue Team II (START II)	Rescue	Bergen (Elmwood Park)	(201) 797-8861	No-kill rescue group operating for over 30 years.
Saved Me	Rescue	Burlington (Cinnaminson)	savedme.org	Rescue partner working to save dogs from shelters.
Secaucus Animal Shelter	Municipal	Hudson (Secaucus)	(201) 348-3213	No-kill municipal shelter for the town of Secaucus.
Second Chance Pet Adoption League	Rescue	Morris (Oak Ridge)	secondchance.petfinder.com	Small group dedicated to finding homes for dogs.
Small n Furry Rescue	Rescue (Small)	Monmouth	smallnfurryrescue.org	Dedicated to rabbits, guinea pigs, ferrets, and other pocket pets.
South Jersey Regional Animal Shelter	Shelter	Cumberland (Vineland)	(856) 691-1500	(Formerly Cumberland SPCA) The primary shelter for the region.
Southern Comfort Animal Rescue	Rescue	Bergen (Garfield)	(862) 686-4033	Rescue focusing on saving dogs from the south and bringing them to NJ.
Southern Ocean County Animal Facility	Municipal	Ocean (Manahawkin)	(609) 978-0127	Southern branch of the Ocean County shelter system.
Southern Paws Inc.	Rescue	Bergen (Ringwood)	southernpawsinc.org	Rescues dogs, specifically Dalmatians and other breeds, from high kill shelters.
St. Hubert’s Animal Welfare Center	Shelter	Morris (Madison)	(973) 377-2295	Major hub for animal welfare, training, and adoption in the tri-state area.
Stray To Home Rescue	Rescue	Bergen (North Arlington)	(201) 889-2709	Small rescue group for cats and dogs.
Tabby’s Place: A Cat Sanctuary	Sanctuary/Rescue	Hunterdon (Ringoes)	(908) 237-5300	World-class sanctuary for special needs cats; does adoptions.
The No Suffer Society	Rescue	Bergen (Woodcliff Lake)	(201) 315-6714	Animal welfare group focused on rescue and prevention of suffering.
Tiny Paws Rescue	Rescue (Breed)	Central/South NJ	tprescue.org	Foster-based rescue specializing in small breed dogs.
Treasure Fur-Ever Animal Rescue	Rescue	Bergen (Oakland)	(201) 644-0277	Rescue group finding forever homes for abandoned pets.
Trenton Animals Rock	Rescue	Mercer (Trenton)	trentonanimalsrock.org	Funds medical care for Trenton shelter dogs and facilitates adoptions.
Union Township Animal Shelter	Municipal	Union (Union)	(908) 851-5230	Municipal shelter serving Union Township.
Voorhees Animal Orphanage	Shelter	Camden (Voorhees)	(856) 627-6455	Serves 26 municipalities in Southern NJ as their shelter.
Wayne Animal Shelter	Municipal	Passaic (Wayne)	(973) 694-0767	Municipal shelter for Wayne Township.
West Milford Animal Shelter	Municipal	Passaic (West Milford)	(973) 728-2859	"The quiet shelter" run almost entirely by volunteers for the township.
Whiskers Rescue	Rescue	Middlesex (Sayreville)	whiskersrescue.org	Cat rescue dedicated to stray and feral cats in Central NJ.
Who Rescued Who Animal Rescue	Rescue	Bergen (North Arlington)	(917) 841-7535	Foster-based rescue saving dogs from euthanasia.
Wise Animal Rescue	Rescue	Morris/Sussex	wiseanimalrescue.org	Foster-based, focuses on all breeds including "bully" breeds.
Woodbridge Animal Shelter	Municipal	Middlesex (Woodbridge)	(732) 855-0600	Municipal shelter for Woodbridge Township.
Woof Love Rescue	Rescue	Camden (Collingswood)	woofloverescue.org	Foster-based rescue dealing largely with puppies and dogs from the south.
